tipo_celular,module_size,CRLF3_MM,CRLF3_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,401.0,0.169,58.0,19,0,0.0,NA,19,100.0,2.52 (1.81-3.24)
T cells 18,477.0,0.2,74.0,43,0,0.0,NA,43,100.0,2.03 (1.52-2.53)
astrocytes 5,1656.0,0.138,84.0,136,6,4.41,1.52 (1.26-1.78),130,95.59,3.30 (3.02-3.57)
oligodendrocyte progenitor cells 7,628.0,0.172,55.0,164,1,0.61,1.29 (NA-NA),163,99.39,4.11 (3.78-4.43)
GABA neurons expressing GLU receptors 22,848.0,0.141,19.0,262,8,3.05,1.37 (0.69-2.06),254,96.95,4.28 (4.04-4.52)
GLU like neurons 17,1316.0,0.088,17.0,101,1,0.99,2.93 (NA-NA),100,99.01,3.05 (2.70-3.41)
da like neurons 11,168.0,0.119,53.0,0,0,0.0,NA,0,0.0,NA
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA
endothelial cells 9,1653.0,0.11,35.0,297,13,4.38,3.76 (3.43-4.09),284,95.62,3.67 (3.45-3.88)
oligodendrocytes 20,938.0,0.131,52.0,169,4,2.37,0.95 (0.27-1.63),165,97.63,3.56 (3.34-3.77)
GABA like neurons 14,2402.0,0.137,21.0,455,15,3.3,0.87 (0.66-1.08),440,96.7,4.51 (4.33-4.68)
astrocytes 8,603.0,0.037,7.0,89,8,8.99,1.22 (1.03-1.40),81,91.01,2.98 (2.61-3.34)
oligodendrocyte progenitor cells 12,1049.0,0.07,35.0,235,1,0.43,1.29 (NA-NA),234,99.57,3.84 (3.61-4.07)
oligodendrocytes 10,2107.0,0.199,68.0,358,64,17.88,2.07 (1.82-2.32),294,82.12,4.43 (4.25-4.61)
connective tissue cells 21,106.0,0.3,60.0,4,0,0.0,NA,4,100.0,4.98 (4.91-5.06)
astrocytes 15,1401.0,0.098,62.0,96,4,4.17,2.28 (1.53-3.03),92,95.83,3.68 (3.22-4.15)
oligodendrocytes 16,74.0,0.146,20.0,0,0,0.0,NA,0,0.0,NA
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA
astrocytes microglia 23,114.0,0.255,19.0,0,0,0.0,NA,0,0.0,NA
astrocytes 4,1807.0,0.178,96.0,104,18,17.31,1.30 (1.04-1.57),86,82.69,3.22 (2.94-3.51)
oligodendrocytes 0,613.0,0.114,18.0,127,12,9.45,1.91 (1.66-2.17),115,90.55,3.25 (2.78-3.72)
microglia 1,1615.0,0.14,84.0,161,46,28.57,1.90 (1.62-2.18),115,71.43,4.01 (3.72-4.29)
oligodendrocytes 3,743.0,0.08,47.0,76,0,0.0,NA,76,100.0,3.16 (2.77-3.55)
oligodendrocytes 2,1630.0,0.127,23.0,154,1,0.65,2.71 (NA-NA),153,99.35,3.25 (2.98-3.52)
