tipo_celular,module_size,GRID1_MM,GRID1_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,,,,0,0,0.0,NA,0,0.0,NA
T cells 18,,,,0,0,0.0,NA,0,0.0,NA
astrocytes 5,118.0,0.299,98.0,8,0,0.0,NA,8,100.0,4.18 (2.41-5.94)
oligodendrocyte progenitor cells 7,436.0,0.086,21.0,219,32,14.61,4.85 (4.19-5.50),187,85.39,5.27 (4.95-5.58)
GABA neurons expressing GLU receptors 22,459.0,0.226,74.0,165,35,21.21,3.53 (2.64-4.42),130,78.79,5.37 (5.03-5.72)
GLU like neurons 17,637.0,0.318,84.0,91,3,3.3,0.37 (0.19-0.55),88,96.7,4.73 (4.23-5.23)
da like neurons 11,172.0,0.478,100.0,8,0,0.0,NA,8,100.0,3.69 (3.52-3.86)
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA
endothelial cells 9,450.0,0.54,90.0,74,7,9.46,6.29 (5.30-7.28),67,90.54,5.39 (4.80-5.98)
oligodendrocytes 20,676.0,0.34,60.0,110,10,9.09,3.72 (1.62-5.82),100,90.91,5.12 (4.68-5.56)
GABA like neurons 14,1300.0,0.297,88.0,306,43,14.05,3.89 (3.17-4.61),263,85.95,5.29 (5.02-5.56)
astrocytes 8,771.0,0.191,65.0,48,1,2.08,0.79 (NA-NA),47,97.92,4.53 (3.78-5.27)
oligodendrocyte progenitor cells 12,708.0,0.239,80.0,32,2,6.25,0.45 (0.32-0.59),30,93.75,3.46 (2.65-4.27)
oligodendrocytes 10,204.0,0.467,59.0,92,5,5.43,4.21 (2.80-5.61),87,94.57,5.85 (5.36-6.33)
connective tissue cells 21,250.0,0.48,76.0,117,11,9.4,4.21 (2.61-5.81),106,90.6,5.49 (5.09-5.89)
astrocytes 15,208.0,0.285,59.0,4,0,0.0,NA,4,100.0,3.12 (0.87-5.36)
oligodendrocytes 16,199.0,0.233,87.0,3,0,0.0,NA,3,100.0,5.28 (1.90-8.66)
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA
astrocytes microglia 23,141.0,0.383,93.0,30,1,3.33,6.09 (NA-NA),29,96.67,5.64 (4.71-6.57)
astrocytes 4,251.0,0.114,13.0,34,4,11.76,3.95 (2.15-5.74),30,88.24,5.50 (4.89-6.11)
oligodendrocytes 0,187.0,0.088,4.0,14,0,0.0,NA,14,100.0,5.53 (4.92-6.14)
microglia 1,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 3,187.0,0.192,86.0,2,0,0.0,NA,2,100.0,3.78 (NA-NA)
oligodendrocytes 2,131.0,0.354,94.0,20,2,10.0,2.42 (2.37-2.47),18,90.0,4.81 (4.10-5.52)
