tipo_celular,module_size,DIS3L_MM,DIS3L_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,395.0,0.095,10.0,97,3,3.09,4.29 (2.56-6.01),94,96.91,3.01 (2.61-3.41)
T cells 18,388.0,0.051,4.0,84,0,0.0,NA,84,100.0,2.97 (2.65-3.30)
astrocytes 5,1656.0,0.096,21.0,136,7,5.15,2.78 (1.52-4.05),129,94.85,3.23 (2.96-3.51)
oligodendrocyte progenitor cells 7,4285.0,0.142,61.0,353,35,9.92,2.13 (1.58-2.68),318,90.08,4.12 (3.94-4.30)
GABA neurons expressing GLU receptors 22,714.0,0.126,17.0,17,2,11.76,3.96 (3.96-3.96),15,88.24,2.09 (1.51-2.66)
GLU like neurons 17,,,,0,0,0.0,NA,0,0.0,NA
da like neurons 11,,,,0,0,0.0,NA,0,0.0,NA
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA
endothelial cells 9,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 20,228.0,0.292,80.0,5,3,60.0,1.91 (0.06-3.75),2,40.0,5.27 (2.10-8.45)
GABA like neurons 14,2090.0,0.225,88.0,74,7,9.46,1.97 (1.61-2.33),67,90.54,3.04 (2.64-3.45)
astrocytes 8,1266.0,0.045,10.0,66,11,16.67,1.94 (0.81-3.07),55,83.33,3.47 (3.05-3.89)
oligodendrocyte progenitor cells 12,3303.0,0.064,32.0,276,27,9.78,2.29 (1.71-2.87),249,90.22,3.71 (3.49-3.93)
oligodendrocytes 10,735.0,0.019,0.0,277,0,0.0,NA,277,100.0,3.89 (3.65-4.14)
connective tissue cells 21,77.0,0.332,70.0,3,0,0.0,NA,3,100.0,2.87 (-1.86-7.60)
astrocytes 15,418.0,0.032,12.0,54,1,1.85,1.29 (NA-NA),53,98.15,3.73 (3.30-4.17)
oligodendrocytes 16,61.0,0.182,42.0,0,0,0.0,NA,0,0.0,NA
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA
astrocytes microglia 23,28.0,0.366,45.0,0,0,0.0,NA,0,0.0,NA
astrocytes 4,787.0,0.165,75.0,65,1,1.54,5.16 (NA-NA),64,98.46,2.92 (2.53-3.31)
oligodendrocytes 0,2078.0,0.124,70.0,238,10,4.2,3.40 (2.11-4.68),228,95.8,3.65 (3.42-3.87)
microglia 1,1615.0,0.12,64.0,161,29,18.01,1.52 (1.12-1.92),132,81.99,3.66 (3.40-3.93)
oligodendrocytes 3,187.0,0.067,22.0,2,0,0.0,NA,2,100.0,3.78 (NA-NA)
oligodendrocytes 2,1630.0,0.155,78.0,154,3,1.95,5.03 (3.88-6.18),151,98.05,3.20 (2.94-3.47)
