tipo_celular,module_size,SLC25A16_MM,SLC25A16_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,401.0,0.133,32.0,19,0,0.0,NA,19,100.0,2.52 (1.81-3.24)
T cells 18,518.0,0.14,38.0,131,0,0.0,NA,131,100.0,3.07 (2.80-3.35)
astrocytes 5,932.0,0.097,32.0,80,0,0.0,NA,80,100.0,3.67 (3.26-4.08)
oligodendrocyte progenitor cells 7,4285.0,0.128,39.0,353,14,3.97,1.55 (0.68-2.42),339,96.03,4.02 (3.84-4.19)
GABA neurons expressing GLU receptors 22,459.0,0.104,23.0,165,1,0.61,3.75 (NA-NA),164,99.39,5.08 (4.73-5.42)
GLU like neurons 17,1247.0,0.151,63.0,51,2,3.92,2.04 (1.96-2.12),49,96.08,3.70 (3.11-4.30)
da like neurons 11,172.0,0.146,19.0,8,0,0.0,NA,8,100.0,3.69 (3.52-3.86)
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA
endothelial cells 9,1653.0,0.122,46.0,297,1,0.34,6.08 (NA-NA),296,99.66,3.66 (3.46-3.87)
oligodendrocytes 20,250.0,0.328,87.0,14,0,0.0,NA,14,100.0,1.92 (1.21-2.62)
GABA like neurons 14,2090.0,0.155,51.0,74,0,0.0,NA,74,100.0,2.94 (2.57-3.32)
astrocytes 8,1266.0,0.042,8.0,66,7,10.61,0.72 (0.26-1.17),59,89.39,3.58 (3.19-3.96)
oligodendrocyte progenitor cells 12,3303.0,0.055,20.0,276,7,2.54,2.11 (1.44-2.78),269,97.46,3.59 (3.37-3.81)
oligodendrocytes 10,1277.0,0.059,16.0,27,0,0.0,NA,27,100.0,5.41 (4.54-6.27)
connective tissue cells 21,90.0,0.327,71.0,3,0,0.0,NA,3,100.0,2.29 (2.29-2.29)
astrocytes 15,1401.0,0.097,61.0,96,1,1.04,2.00 (NA-NA),95,98.96,3.63 (3.18-4.09)
oligodendrocytes 16,121.0,0.32,92.0,8,0,0.0,NA,8,100.0,0.99 (0.10-1.89)
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA
astrocytes microglia 23,101.0,0.295,39.0,6,0,0.0,NA,6,100.0,4.26 (2.94-5.59)
astrocytes 4,787.0,0.159,65.0,65,0,0.0,NA,65,100.0,2.96 (2.57-3.36)
oligodendrocytes 0,2078.0,0.119,60.0,238,3,1.26,2.76 (-0.65-6.17),235,98.74,3.65 (3.43-3.87)
microglia 1,958.0,0.091,20.0,290,4,1.38,3.50 (1.62-5.39),286,98.62,3.82 (3.59-4.05)
oligodendrocytes 3,639.0,0.065,22.0,15,4,26.67,0.50 (0.20-0.80),11,73.33,4.56 (3.30-5.82)
oligodendrocytes 2,1630.0,0.119,13.0,154,2,1.3,1.97 (1.67-2.26),152,98.7,3.26 (3.00-3.53)
