tipo_celular,module_size,NFATC2_MM,NFATC2_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,235.0,0.261,60.0,140,32,22.86,3.89 (3.41-4.36),108,77.14,4.77 (4.44-5.10)
T cells 18,506.0,0.122,20.0,225,26,11.56,2.81 (2.32-3.31),199,88.44,3.76 (3.49-4.04)
astrocytes 5,423.0,0.161,57.0,80,1,1.25,1.04 (NA-NA),79,98.75,3.44 (2.96-3.91)
oligodendrocyte progenitor cells 7,,,,0,0,0.0,NA,0,0.0,NA
GABA neurons expressing GLU receptors 22,,,,0,0,0.0,NA,0,0.0,NA
GLU like neurons 17,,,,0,0,0.0,NA,0,0.0,NA
da like neurons 11,,,,0,0,0.0,NA,0,0.0,NA
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA
endothelial cells 9,658.0,0.106,14.0,120,22,18.33,3.51 (2.97-4.06),98,81.67,4.88 (4.53-5.23)
oligodendrocytes 20,,,,0,0,0.0,NA,0,0.0,NA
GABA like neurons 14,,,,0,0,0.0,NA,0,0.0,NA
astrocytes 8,577.0,0.119,69.0,83,4,4.82,2.10 (0.92-3.27),79,95.18,3.32 (2.86-3.79)
oligodendrocyte progenitor cells 12,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 10,,,,0,0,0.0,NA,0,0.0,NA
connective tissue cells 21,,,,0,0,0.0,NA,0,0.0,NA
astrocytes 15,1768.0,0.045,10.0,105,21,20.0,1.66 (1.29-2.04),84,80.0,3.64 (3.28-4.00)
oligodendrocytes 16,,,,0,0,0.0,NA,0,0.0,NA
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA
astrocytes microglia 23,229.0,0.403,81.0,99,19,19.19,4.18 (3.54-4.83),80,80.81,4.32 (3.94-4.71)
astrocytes 4,514.0,0.23,70.0,95,5,5.26,1.30 (0.81-1.78),90,94.74,3.52 (3.09-3.95)
oligodendrocytes 0,,,,0,0,0.0,NA,0,0.0,NA
microglia 1,315.0,0.185,58.0,144,25,17.36,4.28 (3.68-4.89),119,82.64,4.50 (4.15-4.85)
oligodendrocytes 3,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 2,,,,0,0,0.0,NA,0,0.0,NA
