tipo_celular,module_size,CLIP4_MM,CLIP4_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,,,,0,0,0.0,NA,0,0.0,NA
T cells 18,518.0,0.241,89.0,131,0,0.0,NA,131,100.0,3.07 (2.80-3.35)
astrocytes 5,1141.0,0.184,96.0,166,6,3.61,0.94 (0.47-1.40),160,96.39,3.50 (3.26-3.75)
oligodendrocyte progenitor cells 7,448.0,0.147,54.0,108,1,0.93,5.50 (NA-NA),107,99.07,3.23 (2.79-3.67)
GABA neurons expressing GLU receptors 22,567.0,0.141,25.0,16,4,25.0,2.91 (1.29-4.54),12,75.0,1.72 (1.02-2.41)
GLU like neurons 17,637.0,0.084,14.0,91,20,21.98,2.23 (1.24-3.21),71,78.02,5.26 (4.80-5.72)
da like neurons 11,102.0,0.287,61.0,8,1,12.5,0.95 (NA-NA),7,87.5,3.07 (2.93-3.20)
GABA neurons expressing GABA receptors 13,288.0,0.135,29.0,93,4,4.3,2.91 (1.25-4.58),89,95.7,5.24 (4.74-5.75)
endothelial cells 9,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 20,676.0,0.395,67.0,110,9,8.18,3.82 (2.63-5.00),101,91.82,5.09 (4.62-5.56)
GABA like neurons 14,3052.0,0.222,97.0,125,1,0.8,4.56 (NA-NA),124,99.2,3.34 (3.02-3.67)
astrocytes 8,771.0,0.194,66.0,48,1,2.08,5.50 (NA-NA),47,97.92,4.40 (3.63-5.17)
oligodendrocyte progenitor cells 12,143.0,0.461,76.0,1,0,0.0,NA,1,100.0,7.70 (NA-NA)
oligodendrocytes 10,130.0,0.588,90.0,0,0,0.0,NA,0,0.0,NA
connective tissue cells 21,110.0,0.226,27.0,13,0,0.0,NA,13,100.0,3.11 (2.29-3.94)
astrocytes 15,377.0,0.133,36.0,14,6,42.86,2.56 (0.73-4.39),8,57.14,1.50 (-0.04-3.05)
oligodendrocytes 16,153.0,0.438,81.0,14,1,7.14,5.15 (NA-NA),13,92.86,4.63 (3.84-5.42)
da neurons 6,398.0,0.185,63.0,138,8,5.8,2.65 (1.08-4.22),130,94.2,4.96 (4.60-5.33)
astrocytes microglia 23,59.0,0.296,45.0,0,0,0.0,NA,0,0.0,NA
astrocytes 4,752.0,0.19,94.0,96,4,4.17,3.21 (1.34-5.09),92,95.83,3.29 (2.96-3.63)
oligodendrocytes 0,261.0,0.129,18.0,42,12,28.57,2.97 (1.85-4.09),30,71.43,4.49 (3.68-5.29)
microglia 1,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 3,116.0,0.236,21.0,7,0,0.0,NA,7,100.0,3.71 (1.38-6.05)
oligodendrocytes 2,921.0,0.169,91.0,200,0,0.0,NA,200,100.0,3.62 (3.36-3.89)
