tipo_celular,module_size,KALRN_MM,KALRN_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,,,,0,0,0.0,NA,0,0.0,NA
T cells 18,,,,0,0,0.0,NA,0,0.0,NA
astrocytes 5,222.0,0.184,40.0,98,14,14.29,5.52 (3.92-7.13),84,85.71,4.46 (4.06-4.85)
oligodendrocyte progenitor cells 7,200.0,0.2,61.0,16,1,6.25,7.59 (NA-NA),15,93.75,3.65 (3.00-4.29)
GABA neurons expressing GLU receptors 22,823.0,0.304,96.0,23,7,30.43,3.34 (2.45-4.23),16,69.57,1.80 (0.90-2.69)
GLU like neurons 17,489.0,0.194,78.0,42,22,52.38,6.12 (5.31-6.94),20,47.62,5.79 (5.08-6.50)
da like neurons 11,289.0,0.322,93.0,6,0,0.0,NA,6,100.0,2.89 (2.54-3.24)
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA
endothelial cells 9,586.0,0.447,85.0,62,3,4.84,2.90 (2.44-3.36),59,95.16,4.12 (3.65-4.58)
oligodendrocytes 20,279.0,0.344,83.0,16,0,0.0,NA,16,100.0,2.38 (1.63-3.13)
GABA like neurons 14,1300.0,0.195,45.0,306,76,24.84,4.15 (3.65-4.65),230,75.16,5.53 (5.25-5.81)
astrocytes 8,354.0,0.306,99.0,8,0,0.0,NA,8,100.0,0.78 (0.08-1.47)
oligodendrocyte progenitor cells 12,143.0,0.354,19.0,1,0,0.0,NA,1,100.0,7.70 (NA-NA)
oligodendrocytes 10,1277.0,0.109,51.0,27,0,0.0,NA,27,100.0,5.41 (4.54-6.27)
connective tissue cells 21,84.0,0.316,79.0,4,3,75.0,4.34 (4.07-4.60),1,25.0,NA
astrocytes 15,418.0,0.098,48.0,54,7,12.96,4.04 (2.86-5.22),47,87.04,3.62 (3.15-4.10)
oligodendrocytes 16,149.0,0.202,50.0,70,2,2.86,NA,68,97.14,5.65 (5.18-6.12)
da neurons 6,228.0,0.139,77.0,2,0,0.0,NA,2,100.0,2.12 (-0.17-4.40)
astrocytes microglia 23,166.0,0.394,85.0,7,0,0.0,NA,7,100.0,4.32 (3.39-5.25)
astrocytes 4,201.0,0.265,90.0,18,14,77.78,4.83 (3.75-5.90),4,22.22,3.68 (2.35-5.00)
oligodendrocytes 0,309.0,0.117,32.0,30,2,6.67,5.16 (5.16-5.16),28,93.33,6.18 (5.53-6.83)
microglia 1,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 3,639.0,0.132,75.0,15,9,60.0,2.27 (0.54-3.99),6,40.0,4.99 (3.64-6.35)
oligodendrocytes 2,804.0,0.179,77.0,84,16,19.05,2.82 (2.14-3.50),68,80.95,2.65 (2.26-3.03)
