tipo_celular,module_size,ROGDI_MM,ROGDI_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,,,,0,0,0.0,NA,0,0.0,NA
T cells 18,,,,0,0,0.0,NA,0,0.0,NA
astrocytes 5,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocyte progenitor cells 7,,,,0,0,0.0,NA,0,0.0,NA
GABA neurons expressing GLU receptors 22,,,,0,0,0.0,NA,0,0.0,NA
GLU like neurons 17,,,,0,0,0.0,NA,0,0.0,NA
da like neurons 11,1220.0,0.157,41.0,410,4,0.98,1.42 (0.56-2.28),406,99.02,4.29 (4.10-4.47)
GABA neurons expressing GABA receptors 13,90.0,0.175,60.0,4,1,25.0,2.24 (NA-NA),3,75.0,6.38 (3.80-8.96)
endothelial cells 9,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 20,938.0,0.179,73.0,169,4,2.37,1.28 (0.25-2.31),165,97.63,3.55 (3.33-3.76)
GABA like neurons 14,2402.0,0.308,67.0,455,12,2.64,1.18 (0.53-1.82),443,97.36,4.46 (4.28-4.64)
astrocytes 8,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocyte progenitor cells 12,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 10,806.0,0.118,34.0,261,4,1.53,3.62 (1.98-5.27),257,98.47,4.38 (4.14-4.62)
connective tissue cells 21,,,,0,0,0.0,NA,0,0.0,NA
astrocytes 15,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 16,156.0,0.245,80.0,3,0,0.0,NA,3,100.0,0.40 (0.24-0.56)
da neurons 6,729.0,0.106,26.0,182,0,0.0,NA,182,100.0,3.64 (3.38-3.89)
astrocytes microglia 23,80.0,0.427,95.0,0,0,0.0,NA,0,0.0,NA
astrocytes 4,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 0,546.0,0.146,35.0,252,11,4.37,0.97 (0.53-1.42),241,95.63,4.28 (4.05-4.52)
microglia 1,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 3,743.0,0.099,70.0,76,0,0.0,NA,76,100.0,3.16 (2.77-3.55)
oligodendrocytes 2,526.0,0.308,63.0,213,0,0.0,NA,213,100.0,3.98 (3.70-4.25)
