tipo_celular,module_size,CSF1_MM,CSF1_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,,,,0,0,0.0,NA,0,0.0,NA
T cells 18,,,,0,0,0.0,NA,0,0.0,NA
astrocytes 5,1656.0,0.124,63.0,136,5,3.68,1.98 (1.09-2.87),131,96.32,3.26 (2.99-3.54)
oligodendrocyte progenitor cells 7,,,,0,0,0.0,NA,0,0.0,NA
GABA neurons expressing GLU receptors 22,,,,0,0,0.0,NA,0,0.0,NA
GLU like neurons 17,,,,0,0,0.0,NA,0,0.0,NA
da like neurons 11,,,,0,0,0.0,NA,0,0.0,NA
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA
endothelial cells 9,385.0,0.087,33.0,275,38,13.82,1.86 (1.52-2.20),237,86.18,4.46 (4.20-4.71)
oligodendrocytes 20,322.0,0.199,75.0,10,0,0.0,NA,10,100.0,1.41 (0.38-2.43)
GABA like neurons 14,,,,0,0,0.0,NA,0,0.0,NA
astrocytes 8,47.0,0.05,33.0,76,0,0.0,NA,76,100.0,4.02 (3.72-4.33)
oligodendrocyte progenitor cells 12,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 10,1277.0,0.055,14.0,27,0,0.0,NA,27,100.0,5.41 (4.54-6.27)
connective tissue cells 21,301.0,0.234,11.0,158,19,12.03,4.73 (3.63-5.82),139,87.97,4.15 (3.77-4.53)
astrocytes 15,1768.0,0.052,15.0,105,19,18.1,1.64 (1.22-2.06),86,81.9,3.57 (3.22-3.93)
oligodendrocytes 16,66.0,0.304,90.0,0,0,0.0,NA,0,0.0,NA
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA
astrocytes microglia 23,99.0,0.246,17.0,3,0,0.0,NA,3,100.0,1.85 (0.77-2.94)
astrocytes 4,1807.0,0.117,10.0,104,22,21.15,1.79 (1.33-2.24),82,78.85,3.16 (2.86-3.47)
oligodendrocytes 0,117.0,0.108,23.0,4,0,0.0,NA,4,100.0,5.93 (4.98-6.88)
microglia 1,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 3,242.0,0.13,51.0,6,0,0.0,NA,6,100.0,5.99 (5.03-6.94)
oligodendrocytes 2,1630.0,0.164,89.0,154,1,0.65,2.71 (NA-NA),153,99.35,3.25 (2.98-3.52)
