tipo_celular,module_size,ITFG1_MM,ITFG1_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,178,0.151,13.0,13,0,0.0,NA,13,100.0,1.68 (1.03-2.33)
T cells 18,349,0.084,11.0,68,2,2.94,2.53 (2.34-2.73),66,97.06,4.44 (3.88-5.01)
astrocytes 5,1141,0.17,91.0,166,0,0.0,NA,166,100.0,3.39 (3.14-3.64)
oligodendrocyte progenitor cells 7,448,0.098,18.0,108,0,0.0,NA,108,100.0,3.26 (2.82-3.69)
GABA neurons expressing GLU receptors 22,703,0.137,23.0,23,0,0.0,NA,23,100.0,2.09 (1.38-2.80)
GLU like neurons 17,229,0.118,12.0,22,0,0.0,NA,22,100.0,2.52 (1.91-3.13)
da like neurons 11,215,0.338,85.0,9,0,0.0,NA,9,100.0,0.85 (0.17-1.52)
GABA neurons expressing GABA receptors 13,357,0.151,43.0,237,0,0.0,NA,237,100.0,4.41 (4.18-4.64)
endothelial cells 9,1653,0.219,94.0,297,0,0.0,NA,297,100.0,3.67 (3.47-3.88)
oligodendrocytes 20,330,0.159,45.0,36,0,0.0,NA,36,100.0,1.92 (1.57-2.27)
GABA like neurons 14,1300,0.162,28.0,306,3,0.98,2.12 (1.30-2.94),303,99.02,5.14 (4.87-5.40)
astrocytes 8,1266,0.067,34.0,66,2,3.03,0.45 (0.32-0.59),64,96.97,3.33 (2.92-3.74)
oligodendrocyte progenitor cells 12,153,0.43,59.0,27,0,0.0,NA,27,100.0,4.76 (3.76-5.76)
oligodendrocytes 10,130,0.379,45.0,0,0,0.0,NA,0,0.0,NA
connective tissue cells 21,93,0.216,18.0,1,0,0.0,NA,1,100.0,0.26 (NA-NA)
astrocytes 15,1768,0.1,63.0,105,0,0.0,NA,105,100.0,3.21 (2.88-3.55)
oligodendrocytes 16,90,0.15,11.0,2,0,0.0,NA,2,100.0,1.33 (0.57-2.09)
da neurons 6,300,0.185,59.0,159,0,0.0,NA,159,100.0,4.36 (4.06-4.67)
astrocytes microglia 23,51,0.182,2.0,0,0,0.0,NA,0,0.0,NA
astrocytes 4,752,0.156,53.0,96,0,0.0,NA,96,100.0,3.29 (2.96-3.62)
oligodendrocytes 0,479,0.175,66.0,40,0,0.0,NA,40,100.0,5.86 (5.35-6.38)
microglia 1,1615,0.123,67.0,161,2,1.24,0.45 (0.32-0.59),159,98.76,3.32 (3.05-3.58)
oligodendrocytes 3,44,0.186,31.0,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 2,237,0.261,69.0,26,0,0.0,NA,26,100.0,5.22 (4.28-6.15)
