tipo_celular,module_size,RASSF4_MM,RASSF4_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,249.0,0.193,74.0,35,0,0.0,NA,35,100.0,3.74 (2.80-4.69)
T cells 18,,,,0,0,0.0,NA,0,0.0,NA
astrocytes 5,117.0,0.116,28.0,28,2,7.14,2.42 (2.37-2.47),26,92.86,5.56 (5.04-6.07)
oligodendrocyte progenitor cells 7,4285.0,0.124,32.0,353,3,0.85,0.90 (-0.14-1.94),350,99.15,3.92 (3.74-4.11)
GABA neurons expressing GLU receptors 22,400.0,0.253,80.0,24,0,0.0,NA,24,100.0,2.16 (1.65-2.67)
GLU like neurons 17,685.0,0.148,59.0,135,4,2.96,1.10 (0.52-1.69),131,97.04,3.27 (2.96-3.57)
da like neurons 11,408.0,0.104,24.0,25,4,16.0,1.16 (0.64-1.68),21,84.0,5.48 (4.15-6.81)
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA
endothelial cells 9,450.0,0.13,23.0,74,0,0.0,NA,74,100.0,5.46 (4.91-6.02)
oligodendrocytes 20,250.0,0.159,39.0,14,0,0.0,NA,14,100.0,1.92 (1.21-2.62)
GABA like neurons 14,2090.0,0.138,39.0,74,0,0.0,NA,74,100.0,2.94 (2.57-3.32)
astrocytes 8,1266.0,0.139,84.0,66,2,3.03,0.62 (-0.19-1.44),64,96.97,3.32 (2.91-3.73)
oligodendrocyte progenitor cells 12,3303.0,0.079,50.0,276,4,1.45,1.10 (0.52-1.69),272,98.55,3.59 (3.37-3.81)
oligodendrocytes 10,1277.0,0.132,65.0,27,0,0.0,NA,27,100.0,5.41 (4.54-6.27)
connective tissue cells 21,,,,0,0,0.0,NA,0,0.0,NA
astrocytes 15,1768.0,0.067,31.0,105,3,2.86,0.90 (-0.14-1.94),102,97.14,3.29 (2.95-3.62)
oligodendrocytes 16,69.0,0.259,75.0,1,0,0.0,NA,1,100.0,NA
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA
astrocytes microglia 23,253.0,0.266,55.0,47,0,0.0,NA,47,100.0,2.84 (2.52-3.17)
astrocytes 4,251.0,0.149,39.0,34,2,5.88,2.42 (2.37-2.47),32,94.12,5.49 (4.93-6.06)
oligodendrocytes 0,613.0,0.175,77.0,127,0,0.0,NA,127,100.0,3.05 (2.64-3.46)
microglia 1,1615.0,0.109,49.0,161,3,1.86,0.90 (-0.14-1.94),158,98.14,3.33 (3.06-3.59)
oligodendrocytes 3,681.0,0.124,73.0,87,2,2.3,1.25 (-0.12-2.62),85,97.7,2.62 (2.34-2.89)
oligodendrocytes 2,921.0,0.142,59.0,200,0,0.0,NA,200,100.0,3.62 (3.36-3.89)
