tipo_celular,module_size,FKBP10_MM,FKBP10_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,,,,0,0,0.0,NA,0,0.0,NA
T cells 18,,,,0,0,0.0,NA,0,0.0,NA
astrocytes 5,1656.0,0.092,16.0,136,6,4.41,1.85 (1.09-2.62),130,95.59,3.28 (3.00-3.56)
oligodendrocyte progenitor cells 7,4285.0,0.082,3.0,353,22,6.23,1.37 (0.96-1.77),331,93.77,4.11 (3.94-4.29)
GABA neurons expressing GLU receptors 22,,,,0,0,0.0,NA,0,0.0,NA
GLU like neurons 17,,,,0,0,0.0,NA,0,0.0,NA
da like neurons 11,,,,0,0,0.0,NA,0,0.0,NA
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA
endothelial cells 9,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 20,,,,0,0,0.0,NA,0,0.0,NA
GABA like neurons 14,,,,0,0,0.0,NA,0,0.0,NA
astrocytes 8,603.0,0.09,59.0,89,7,7.87,1.17 (0.99-1.35),82,92.13,2.95 (2.59-3.32)
oligodendrocyte progenitor cells 12,218.0,0.041,10.0,1,0,0.0,NA,1,100.0,2.68 (NA-NA)
oligodendrocytes 10,,,,0,0,0.0,NA,0,0.0,NA
connective tissue cells 21,111.0,0.227,18.0,0,0,0.0,NA,0,0.0,NA
astrocytes 15,1768.0,0.088,51.0,105,16,15.24,1.72 (1.23-2.22),89,84.76,3.51 (3.15-3.86)
oligodendrocytes 16,,,,0,0,0.0,NA,0,0.0,NA
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA
astrocytes microglia 23,140.0,0.358,80.0,1,0,0.0,NA,1,100.0,NA
astrocytes 4,721.0,0.16,67.0,61,0,0.0,NA,61,100.0,2.97 (2.55-3.38)
oligodendrocytes 0,,,,0,0,0.0,NA,0,0.0,NA
microglia 1,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 3,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 2,,,,0,0,0.0,NA,0,0.0,NA
