tipo_celular,module_size,NLRC5_MM,NLRC5_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,352.0,0.2,61.0,73,21,28.77,4.33 (3.88-4.77),52,71.23,3.15 (2.73-3.58)
T cells 18,727.0,0.228,95.0,49,0,0.0,NA,49,100.0,2.43 (2.03-2.82)
astrocytes 5,156.0,0.108,20.0,0,0,0.0,NA,0,0.0,NA
oligodendrocyte progenitor cells 7,,,,0,0,0.0,NA,0,0.0,NA
GABA neurons expressing GLU receptors 22,,,,0,0,0.0,NA,0,0.0,NA
GLU like neurons 17,,,,0,0,0.0,NA,0,0.0,NA
da like neurons 11,,,,0,0,0.0,NA,0,0.0,NA
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA
endothelial cells 9,412.0,0.181,51.0,141,12,8.51,2.57 (1.90-3.25),129,91.49,3.00 (2.75-3.26)
oligodendrocytes 20,,,,0,0,0.0,NA,0,0.0,NA
GABA like neurons 14,,,,0,0,0.0,NA,0,0.0,NA
astrocytes 8,1266.0,0.045,10.0,66,19,28.79,1.94 (1.24-2.64),47,71.21,3.77 (3.35-4.19)
oligodendrocyte progenitor cells 12,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 10,,,,0,0,0.0,NA,0,0.0,NA
connective tissue cells 21,112.0,0.158,14.0,7,2,28.57,2.00 (1.71-2.28),5,71.43,1.94 (0.81-3.06)
astrocytes 15,1401.0,0.076,41.0,96,6,6.25,2.19 (1.35-3.03),90,93.75,3.73 (3.26-4.20)
oligodendrocytes 16,,,,0,0,0.0,NA,0,0.0,NA
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA
astrocytes microglia 23,61.0,0.328,59.0,0,0,0.0,NA,0,0.0,NA
astrocytes 4,171.0,0.113,10.0,22,1,4.55,2.54 (NA-NA),21,95.45,4.67 (3.72-5.61)
oligodendrocytes 0,,,,0,0,0.0,NA,0,0.0,NA
microglia 1,813.0,0.136,70.0,79,0,0.0,NA,79,100.0,3.10 (2.70-3.50)
oligodendrocytes 3,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 2,,,,0,0,0.0,NA,0,0.0,NA
