tipo_celular,module_size,FAXDC2_MM,FAXDC2_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,,,,0,0,0.0,NA,0,0.0,NA
T cells 18,,,,0,0,0.0,NA,0,0.0,NA
astrocytes 5,932.0,0.134,80.0,80,2,2.5,3.48 (3.47-3.49),78,97.5,3.68 (3.26-4.10)
oligodendrocyte progenitor cells 7,229.0,0.095,11.0,45,0,0.0,NA,45,100.0,5.01 (4.39-5.62)
GABA neurons expressing GLU receptors 22,,,,0,0,0.0,NA,0,0.0,NA
GLU like neurons 17,,,,0,0,0.0,NA,0,0.0,NA
da like neurons 11,,,,0,0,0.0,NA,0,0.0,NA
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA
endothelial cells 9,658.0,0.145,27.0,120,12,10.0,3.68 (3.10-4.26),108,90.0,4.73 (4.39-5.07)
oligodendrocytes 20,403.0,0.12,50.0,18,8,44.44,0.89 (0.40-1.37),10,55.56,2.67 (1.77-3.57)
GABA like neurons 14,,,,0,0,0.0,NA,0,0.0,NA
astrocytes 8,771.0,0.092,38.0,48,1,2.08,0.79 (NA-NA),47,97.92,4.53 (3.78-5.27)
oligodendrocyte progenitor cells 12,708.0,0.112,49.0,25,2,8.0,2.75 (-2.23-7.72),23,92.0,2.88 (1.87-3.89)
oligodendrocytes 10,1277.0,0.217,95.0,27,0,0.0,NA,27,100.0,5.41 (4.54-6.27)
connective tissue cells 21,250.0,0.209,20.0,117,8,6.84,2.96 (2.35-3.57),109,93.16,5.62 (5.23-6.02)
astrocytes 15,443.0,0.179,70.0,9,2,22.22,2.04 (-0.10-4.18),7,77.78,3.68 (2.17-5.18)
oligodendrocytes 16,66.0,0.222,44.0,0,0,0.0,NA,0,0.0,NA
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA
astrocytes microglia 23,161.0,0.299,47.0,7,0,0.0,NA,7,100.0,1.58 (0.74-2.41)
astrocytes 4,251.0,0.141,33.0,34,0,0.0,NA,34,100.0,5.25 (4.63-5.86)
oligodendrocytes 0,479.0,0.163,60.0,40,1,2.5,3.69 (NA-NA),39,97.5,5.93 (5.42-6.45)
microglia 1,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 3,639.0,0.12,68.0,15,5,33.33,0.91 (0.08-1.73),10,66.67,4.82 (3.51-6.13)
oligodendrocytes 2,237.0,0.132,11.0,26,0,0.0,NA,26,100.0,5.22 (4.28-6.15)
