tipo_celular,module_size,HPS3_MM,HPS3_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,235.0,0.12,13.0,140,0,0.0,NA,140,100.0,4.56 (4.27-4.84)
T cells 18,624.0,0.093,9.0,142,0,0.0,NA,142,100.0,3.21 (2.94-3.48)
astrocytes 5,1656.0,0.122,61.0,136,1,0.74,3.28 (NA-NA),135,99.26,3.21 (2.93-3.48)
oligodendrocyte progenitor cells 7,4285.0,0.14,57.0,353,26,7.37,2.00 (1.51-2.50),327,92.63,4.09 (3.91-4.27)
GABA neurons expressing GLU receptors 22,,,,0,0,0.0,NA,0,0.0,NA
GLU like neurons 17,,,,0,0,0.0,NA,0,0.0,NA
da like neurons 11,289.0,0.182,49.0,6,0,0.0,NA,6,100.0,2.89 (2.54-3.24)
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA
endothelial cells 9,658.0,0.092,10.0,120,1,0.83,2.00 (NA-NA),119,99.17,4.63 (4.32-4.95)
oligodendrocytes 20,938.0,0.058,16.0,169,11,6.51,2.36 (1.72-3.01),158,93.49,3.58 (3.35-3.80)
GABA like neurons 14,2402.0,0.077,4.0,455,22,4.84,2.17 (1.60-2.73),433,95.16,4.50 (4.31-4.68)
astrocytes 8,354.0,0.099,36.0,8,0,0.0,NA,8,100.0,0.78 (0.08-1.47)
oligodendrocyte progenitor cells 12,3303.0,0.131,94.0,276,16,5.8,2.51 (2.04-2.98),260,94.2,3.63 (3.40-3.85)
oligodendrocytes 10,2107.0,0.096,26.0,358,21,5.87,1.74 (1.22-2.25),337,94.13,4.04 (3.85-4.23)
connective tissue cells 21,116.0,0.293,54.0,2,0,0.0,NA,2,100.0,0.40 (0.12-0.68)
astrocytes 15,367.0,0.048,10.0,17,0,0.0,NA,17,100.0,2.08 (1.12-3.04)
oligodendrocytes 16,108.0,0.098,3.0,5,0,0.0,NA,5,100.0,3.97 (2.94-5.00)
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA
astrocytes microglia 23,80.0,0.274,19.0,0,0,0.0,NA,0,0.0,NA
astrocytes 4,1807.0,0.148,57.0,104,7,6.73,1.43 (0.53-2.34),97,93.27,2.97 (2.69-3.26)
oligodendrocytes 0,2078.0,0.104,28.0,238,6,2.52,2.42 (1.37-3.47),232,97.48,3.67 (3.45-3.90)
microglia 1,1615.0,0.114,58.0,161,14,8.7,1.21 (0.68-1.73),147,91.3,3.52 (3.26-3.78)
oligodendrocytes 3,1003.0,0.053,7.0,111,0,0.0,NA,111,100.0,3.30 (2.96-3.64)
oligodendrocytes 2,1630.0,0.131,28.0,154,0,0.0,NA,154,100.0,3.24 (2.98-3.51)
