tipo_celular,module_size,TMEM260_MM,TMEM260_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,500.0,0.106,12.0,32,1,3.12,2.24 (NA-NA),31,96.88,3.78 (2.98-4.58)
T cells 18,727.0,0.229,95.0,49,1,2.04,2.53 (NA-NA),48,97.96,2.43 (2.02-2.83)
astrocytes 5,1141.0,0.123,36.0,166,8,4.82,1.49 (0.71-2.28),158,95.18,3.51 (3.26-3.76)
oligodendrocyte progenitor cells 7,4285.0,0.154,77.0,353,20,5.67,1.41 (0.97-1.85),333,94.33,4.09 (3.91-4.26)
GABA neurons expressing GLU receptors 22,1069.0,0.163,49.0,37,0,0.0,NA,37,100.0,2.16 (1.70-2.61)
GLU like neurons 17,1316.0,0.118,46.0,101,1,0.99,2.53 (NA-NA),100,99.01,3.06 (2.70-3.41)
da like neurons 11,853.0,0.076,9.0,133,12,9.02,1.02 (0.56-1.48),121,90.98,3.52 (3.21-3.83)
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA
endothelial cells 9,1653.0,0.127,49.0,297,1,0.34,2.53 (NA-NA),296,99.66,3.68 (3.47-3.88)
oligodendrocytes 20,348.0,0.074,37.0,33,2,6.06,2.95 (2.42-3.48),31,93.94,2.72 (2.20-3.24)
GABA like neurons 14,3052.0,0.235,99.0,125,0,0.0,NA,125,100.0,3.35 (3.03-3.68)
astrocytes 8,771.0,0.045,10.0,48,0,0.0,NA,48,100.0,4.43 (3.68-5.18)
oligodendrocyte progenitor cells 12,3303.0,0.087,60.0,276,11,3.99,1.86 (1.31-2.42),265,96.01,3.63 (3.41-3.86)
oligodendrocytes 10,2107.0,0.133,44.0,358,17,4.75,1.21 (0.78-1.64),341,95.25,4.04 (3.86-4.23)
connective tissue cells 21,92.0,0.151,3.0,3,0,0.0,NA,3,100.0,0.61 (-0.07-1.28)
astrocytes 15,1768.0,0.073,36.0,105,17,16.19,2.15 (1.59-2.71),88,83.81,3.44 (3.07-3.81)
oligodendrocytes 16,74.0,0.201,62.0,1,0,0.0,NA,1,100.0,NA
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA
astrocytes microglia 23,94.0,0.228,10.0,0,0,0.0,NA,0,0.0,NA
astrocytes 4,787.0,0.164,73.0,65,0,0.0,NA,65,100.0,2.96 (2.57-3.36)
oligodendrocytes 0,1186.0,0.172,87.0,300,0,0.0,NA,300,100.0,3.79 (3.59-4.00)
microglia 1,813.0,0.099,27.0,79,7,8.86,3.26 (2.60-3.91),72,91.14,3.08 (2.64-3.53)
oligodendrocytes 3,1003.0,0.115,68.0,111,0,0.0,NA,111,100.0,3.30 (2.96-3.64)
oligodendrocytes 2,804.0,0.176,75.0,84,6,7.14,1.73 (0.75-2.71),78,92.86,2.78 (2.43-3.13)
