tipo_celular,module_size,ZNF420_MM,ZNF420_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,,,,0,0,0.0,NA,0,0.0,NA
T cells 18,518.0,0.102,16.0,131,1,0.76,2.25 (NA-NA),130,99.24,3.08 (2.80-3.36)
astrocytes 5,1656.0,0.101,27.0,136,6,4.41,1.52 (1.26-1.78),130,95.59,3.30 (3.02-3.57)
oligodendrocyte progenitor cells 7,4285.0,0.132,45.0,353,40,11.33,1.72 (1.45-1.98),313,88.67,4.26 (4.09-4.44)
GABA neurons expressing GLU receptors 22,823.0,0.154,33.0,23,1,4.35,1.01 (NA-NA),22,95.65,2.48 (1.73-3.23)
GLU like neurons 17,229.0,0.221,65.0,22,0,0.0,NA,22,100.0,2.52 (1.91-3.13)
da like neurons 11,853.0,0.142,58.0,133,41,30.83,1.92 (1.64-2.19),92,69.17,4.02 (3.65-4.38)
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA
endothelial cells 9,586.0,0.157,37.0,62,0,0.0,NA,62,100.0,4.05 (3.60-4.49)
oligodendrocytes 20,938.0,0.095,34.0,169,3,1.78,0.69 (0.05-1.34),166,98.22,3.54 (3.33-3.75)
GABA like neurons 14,2090.0,0.117,24.0,74,15,20.27,2.32 (2.04-2.60),59,79.73,3.13 (2.66-3.60)
astrocytes 8,1266.0,0.051,16.0,66,12,18.18,1.48 (0.82-2.14),54,81.82,3.69 (3.29-4.10)
oligodendrocyte progenitor cells 12,708.0,0.064,25.0,32,5,15.62,0.42 (0.32-0.52),27,84.38,3.86 (3.08-4.64)
oligodendrocytes 10,1277.0,0.054,14.0,27,0,0.0,NA,27,100.0,5.41 (4.54-6.27)
connective tissue cells 21,77.0,0.185,7.0,3,0,0.0,NA,3,100.0,2.87 (-1.86-7.60)
astrocytes 15,261.0,0.053,10.0,8,2,25.0,0.32 (0.20-0.45),6,75.0,5.02 (3.40-6.64)
oligodendrocytes 16,156.0,0.227,72.0,3,0,0.0,NA,3,100.0,0.40 (0.24-0.56)
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA
astrocytes microglia 23,100.0,0.218,13.0,9,0,0.0,NA,9,100.0,3.95 (2.94-4.96)
astrocytes 4,1807.0,0.126,19.0,104,23,22.12,1.61 (1.27-1.94),81,77.88,3.26 (2.96-3.56)
oligodendrocytes 0,2078.0,0.105,31.0,238,9,3.78,2.10 (1.58-2.62),229,96.22,3.71 (3.48-3.93)
microglia 1,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 3,681.0,0.052,9.0,87,34,39.08,1.90 (1.65-2.16),53,60.92,3.09 (2.71-3.46)
oligodendrocytes 2,1630.0,0.146,59.0,154,0,0.0,NA,154,100.0,3.24 (2.98-3.51)
