tipo_celular,module_size,YWHAH_MM,YWHAH_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,181.0,0.227,62.0,8,0,0.0,NA,8,100.0,1.27 (0.48-2.07)
T cells 18,,,,0,0,0.0,NA,0,0.0,NA
astrocytes 5,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocyte progenitor cells 7,,,,0,0,0.0,NA,0,0.0,NA
GABA neurons expressing GLU receptors 22,848.0,0.459,96.0,262,53,20.23,4.67 (4.05-5.28),209,79.77,4.00 (3.74-4.26)
GLU like neurons 17,,,,0,0,0.0,NA,0,0.0,NA
da like neurons 11,1220.0,0.4,93.0,410,22,5.37,3.50 (2.72-4.29),388,94.63,4.29 (4.10-4.48)
GABA neurons expressing GABA receptors 13,417.0,0.14,35.0,213,20,9.39,1.90 (1.10-2.69),193,90.61,3.96 (3.72-4.19)
endothelial cells 9,338.0,0.142,55.0,191,7,3.66,3.60 (3.09-4.11),184,96.34,3.90 (3.67-4.13)
oligodendrocytes 20,,,,0,0,0.0,NA,0,0.0,NA
GABA like neurons 14,2402.0,0.695,99.0,455,32,7.03,2.69 (1.99-3.39),423,92.97,4.48 (4.29-4.66)
astrocytes 8,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocyte progenitor cells 12,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 10,,,,0,0,0.0,NA,0,0.0,NA
connective tissue cells 21,,,,0,0,0.0,NA,0,0.0,NA
astrocytes 15,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 16,,,,0,0,0.0,NA,0,0.0,NA
da neurons 6,729.0,0.187,67.0,182,3,1.65,1.40 (1.32-1.48),179,98.35,3.68 (3.43-3.93)
astrocytes microglia 23,96.0,0.321,53.0,3,0,0.0,NA,3,100.0,1.95 (-1.12-5.03)
astrocytes 4,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 0,,,,0,0,0.0,NA,0,0.0,NA
microglia 1,214.0,0.201,55.0,227,16,7.05,3.95 (2.91-5.00),211,92.95,4.10 (3.86-4.34)
oligodendrocytes 3,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 2,,,,0,0,0.0,NA,0,0.0,NA
