tipo_celular,module_size,ZNF90_MM,ZNF90_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,185.0,0.221,46.0,98,5,5.1,1.24 (0.89-1.60),93,94.9,3.37 (2.88-3.85)
T cells 18,506.0,0.42,88.0,225,6,2.67,1.25 (0.96-1.54),219,97.33,3.70 (3.45-3.95)
astrocytes 5,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocyte progenitor cells 7,,,,0,0,0.0,NA,0,0.0,NA
GABA neurons expressing GLU receptors 22,,,,0,0,0.0,NA,0,0.0,NA
GLU like neurons 17,,,,0,0,0.0,NA,0,0.0,NA
da like neurons 11,,,,0,0,0.0,NA,0,0.0,NA
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA
endothelial cells 9,916.0,0.481,90.0,302,1,0.33,0.21 (NA-NA),301,99.67,4.00 (3.77-4.22)
oligodendrocytes 20,233.0,0.129,16.0,5,0,0.0,NA,5,100.0,0.63 (-0.10-1.37)
GABA like neurons 14,2402.0,0.365,75.0,455,8,1.76,1.10 (0.87-1.34),447,98.24,4.42 (4.24-4.60)
astrocytes 8,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocyte progenitor cells 12,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 10,483.0,0.406,91.0,129,0,0.0,NA,129,100.0,3.43 (3.04-3.82)
connective tissue cells 21,301.0,0.477,75.0,158,3,1.9,1.11 (0.53-1.69),155,98.1,4.34 (3.98-4.71)
astrocytes 15,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 16,69.0,0.247,75.0,0,0,0.0,NA,0,0.0,NA
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA
astrocytes microglia 23,137.0,0.443,76.0,188,7,3.72,1.22 (0.96-1.47),181,96.28,4.51 (4.18-4.85)
astrocytes 4,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 0,546.0,0.177,55.0,252,7,2.78,1.12 (0.85-1.39),245,97.22,4.20 (3.96-4.45)
microglia 1,406.0,0.388,76.0,278,0,0.0,NA,278,100.0,4.36 (4.09-4.63)
oligodendrocytes 3,303.0,0.119,43.0,154,0,0.0,NA,154,100.0,3.62 (3.30-3.94)
oligodendrocytes 2,526.0,0.235,42.0,213,0,0.0,NA,213,100.0,3.98 (3.70-4.25)
