tipo_celular,module_size,CRYAB_MM,CRYAB_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,305,0.248,69.0,15,0,0.0,NA,15,100.0,5.79 (5.09-6.49)
T cells 18,349,0.207,60.0,68,9,13.24,2.13 (1.21-3.05),59,86.76,4.84 (4.29-5.39)
astrocytes 5,328,0.48,98.0,128,14,10.94,4.30 (3.70-4.89),114,89.06,3.44 (3.06-3.82)
oligodendrocyte progenitor cells 7,229,0.281,80.0,45,1,2.22,5.19 (NA-NA),44,97.78,5.00 (4.36-5.63)
GABA neurons expressing GLU receptors 22,567,0.243,69.0,16,3,18.75,2.54 (1.95-3.14),13,81.25,1.82 (0.99-2.64)
GLU like neurons 17,637,0.281,79.0,91,18,19.78,2.33 (1.42-3.24),73,80.22,5.35 (4.89-5.81)
da like neurons 11,408,0.467,89.0,25,11,44.0,2.17 (1.08-3.25),14,56.0,7.06 (6.05-8.06)
GABA neurons expressing GABA receptors 13,417,0.235,85.0,213,39,18.31,2.52 (1.87-3.17),174,81.69,4.07 (3.84-4.30)
endothelial cells 9,450,0.298,68.0,74,3,4.05,4.09 (1.79-6.39),71,95.95,5.55 (4.99-6.12)
oligodendrocytes 20,938,0.509,100.0,169,24,14.2,3.37 (2.67-4.08),145,85.8,3.50 (3.27-3.73)
GABA like neurons 14,2402,0.283,63.0,455,47,10.33,2.95 (2.31-3.58),408,89.67,4.54 (4.36-4.72)
astrocytes 8,603,0.345,99.0,89,8,8.99,1.68 (0.98-2.39),81,91.01,2.91 (2.54-3.29)
oligodendrocyte progenitor cells 12,708,0.435,95.0,25,1,4.0,0.21 (NA-NA),24,96.0,3.00 (2.02-3.99)
oligodendrocytes 10,204,0.409,40.0,92,0,0.0,NA,92,100.0,5.70 (5.23-6.17)
connective tissue cells 21,142,0.308,44.0,55,17,30.91,3.31 (2.06-4.56),38,69.09,3.52 (2.36-4.68)
astrocytes 15,458,0.229,87.0,36,1,2.78,NA,35,97.22,3.77 (2.68-4.85)
oligodendrocytes 16,287,0.199,25.0,105,8,7.62,2.17 (1.09-3.25),97,92.38,5.45 (5.05-5.85)
da neurons 6,729,0.164,57.0,182,6,3.3,2.15 (1.49-2.81),176,96.7,3.70 (3.44-3.96)
astrocytes microglia 23,41,0.377,68.0,3,0,0.0,NA,3,100.0,NA
astrocytes 4,208,0.402,92.0,173,23,13.29,4.41 (3.86-4.95),150,86.71,3.69 (3.36-4.03)
oligodendrocytes 0,546,0.636,100.0,252,43,17.06,2.87 (2.22-3.53),209,82.94,4.38 (4.13-4.62)
microglia 1,127,0.256,68.0,24,0,0.0,NA,24,100.0,5.17 (4.46-5.87)
oligodendrocytes 3,127,0.65,100.0,45,1,2.22,0.79 (NA-NA),44,97.78,4.46 (3.62-5.29)
oligodendrocytes 2,526,0.782,100.0,213,4,1.88,4.03 (2.79-5.26),209,98.12,3.98 (3.70-4.26)
