tipo_celular,module_size,ABLIM1_MM,ABLIM1_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,,,,0,0,0.0,NA,0,0.0,NA
T cells 18,610.0,0.171,64.0,98,5,5.1,0.64 (-0.00-1.28),93,94.9,3.27 (2.96-3.57)
astrocytes 5,499.0,0.087,4.0,32,5,15.62,4.61 (4.36-4.87),27,84.38,5.12 (4.52-5.72)
oligodendrocyte progenitor cells 7,200.0,0.22,70.0,16,0,0.0,NA,16,100.0,3.93 (3.11-4.74)
GABA neurons expressing GLU receptors 22,459.0,0.214,71.0,165,7,4.24,3.69 (2.75-4.64),158,95.76,5.14 (4.78-5.50)
GLU like neurons 17,1247.0,0.202,84.0,51,0,0.0,NA,51,100.0,3.62 (3.05-4.20)
da like neurons 11,172.0,0.288,68.0,8,0,0.0,NA,8,100.0,3.69 (3.52-3.86)
GABA neurons expressing GABA receptors 13,238.0,0.127,26.0,36,0,0.0,NA,36,100.0,3.88 (3.35-4.40)
endothelial cells 9,658.0,0.432,96.0,120,6,5.0,4.50 (2.52-6.48),114,95.0,4.61 (4.29-4.93)
oligodendrocytes 20,,,,0,0,0.0,NA,0,0.0,NA
GABA like neurons 14,1300.0,0.208,51.0,306,17,5.56,3.38 (2.46-4.29),289,94.44,5.22 (4.95-5.48)
astrocytes 8,1266.0,0.269,98.0,66,11,16.67,2.03 (1.13-2.93),55,83.33,3.51 (3.07-3.95)
oligodendrocyte progenitor cells 12,3303.0,0.169,100.0,276,7,2.54,2.17 (1.36-2.97),269,97.46,3.59 (3.37-3.81)
oligodendrocytes 10,,,,0,0,0.0,NA,0,0.0,NA
connective tissue cells 21,114.0,0.254,43.0,19,1,5.26,5.24 (NA-NA),18,94.74,4.88 (4.12-5.64)
astrocytes 15,418.0,0.076,42.0,54,2,3.7,4.33 (4.33-4.33),52,96.3,3.65 (3.20-4.11)
oligodendrocytes 16,,,,0,0,0.0,NA,0,0.0,NA
da neurons 6,448.0,0.104,54.0,43,0,0.0,NA,43,100.0,3.28 (2.76-3.80)
astrocytes microglia 23,91.0,0.315,75.0,3,0,0.0,NA,3,100.0,4.26 (NA-NA)
astrocytes 4,161.0,0.141,25.0,45,3,6.67,7.00 (NA-NA),42,93.33,5.22 (4.59-5.86)
oligodendrocytes 0,,,,0,0,0.0,NA,0,0.0,NA
microglia 1,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 3,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 2,,,,0,0,0.0,NA,0,0.0,NA
