tipo_celular,module_size,UBL3_MM,UBL3_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,305,0.188,53.0,15,0,0.0,NA,15,100.0,5.79 (5.09-6.49)
T cells 18,727,0.121,32.0,49,0,0.0,NA,49,100.0,2.43 (2.03-2.82)
astrocytes 5,1141,0.136,59.0,166,1,0.6,0.55 (NA-NA),165,99.4,3.41 (3.16-3.66)
oligodendrocyte progenitor cells 7,666,0.097,8.0,127,5,3.94,3.18 (NA-NA),122,96.06,3.84 (3.50-4.18)
GABA neurons expressing GLU receptors 22,400,0.217,61.0,24,2,8.33,0.45 (0.32-0.59),22,91.67,2.31 (1.80-2.82)
GLU like neurons 17,489,0.197,79.0,42,0,0.0,NA,42,100.0,5.99 (5.44-6.55)
da like neurons 11,1220,0.112,21.0,410,8,1.95,2.99 (1.33-4.64),402,98.05,4.26 (4.08-4.45)
GABA neurons expressing GABA receptors 13,238,0.271,88.0,36,0,0.0,NA,36,100.0,3.88 (3.35-4.40)
endothelial cells 9,412,0.099,16.0,141,0,0.0,NA,141,100.0,2.96 (2.72-3.20)
oligodendrocytes 20,253,0.067,16.0,7,0,0.0,NA,7,100.0,0.94 (0.08-1.80)
GABA like neurons 14,2402,0.089,6.0,455,10,2.2,2.14 (0.66-3.62),445,97.8,4.38 (4.20-4.57)
astrocytes 8,771,0.127,51.0,48,0,0.0,NA,48,100.0,4.43 (3.68-5.18)
oligodendrocyte progenitor cells 12,218,0.345,72.0,1,0,0.0,NA,1,100.0,2.68 (NA-NA)
oligodendrocytes 10,806,0.121,35.0,261,5,1.92,3.18 (NA-NA),256,98.08,4.37 (4.13-4.61)
connective tissue cells 21,90,0.365,84.0,3,0,0.0,NA,3,100.0,2.29 (2.29-2.29)
astrocytes 15,338,0.173,66.0,14,0,0.0,NA,14,100.0,1.77 (1.03-2.51)
oligodendrocytes 16,86,0.115,9.0,0,0,0.0,NA,0,0.0,NA
da neurons 6,553,0.247,92.0,124,0,0.0,NA,124,100.0,4.18 (3.79-4.58)
astrocytes microglia 23,255,0.264,55.0,57,0,0.0,NA,57,100.0,2.65 (2.29-3.01)
astrocytes 4,752,0.135,24.0,96,0,0.0,NA,96,100.0,3.29 (2.96-3.62)
oligodendrocytes 0,187,0.201,62.0,14,0,0.0,NA,14,100.0,5.53 (4.92-6.14)
microglia 1,1615,0.146,87.0,161,4,2.48,0.85 (0.13-1.57),157,97.52,3.35 (3.08-3.61)
oligodendrocytes 3,187,0.094,41.0,2,0,0.0,NA,2,100.0,3.78 (NA-NA)
oligodendrocytes 2,528,0.23,65.0,175,7,4.0,3.80 (3.17-4.43),168,96.0,4.39 (4.04-4.75)
