tipo_celular,module_size,CEP57L1_MM,CEP57L1_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,,,,0,0,0.0,NA,0,0.0,NA
T cells 18,,,,0,0,0.0,NA,0,0.0,NA
astrocytes 5,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocyte progenitor cells 7,4285.0,0.152,76.0,353,10,2.83,1.41 (0.41-2.40),343,97.17,3.96 (3.78-4.15)
GABA neurons expressing GLU receptors 22,714.0,0.163,39.0,17,0,0.0,NA,17,100.0,2.31 (1.72-2.89)
GLU like neurons 17,1316.0,0.143,67.0,101,0,0.0,NA,101,100.0,3.05 (2.70-3.40)
da like neurons 11,,,,0,0,0.0,NA,0,0.0,NA
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA
endothelial cells 9,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 20,271.0,0.354,92.0,8,0,0.0,NA,8,100.0,3.49 (2.00-4.99)
GABA like neurons 14,3052.0,0.034,1.0,125,3,2.4,4.56 (NA-NA),122,97.6,3.34 (3.02-3.67)
astrocytes 8,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocyte progenitor cells 12,3303.0,0.042,8.0,276,8,2.9,2.04 (0.72-3.36),268,97.1,3.58 (3.36-3.80)
oligodendrocytes 10,2107.0,0.134,45.0,358,9,2.51,0.95 (0.43-1.48),349,97.49,3.94 (3.75-4.13)
connective tissue cells 21,147.0,0.181,23.0,4,0,0.0,NA,4,100.0,5.34 (4.88-5.80)
astrocytes 15,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 16,78.0,0.29,90.0,0,0,0.0,NA,0,0.0,NA
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA
astrocytes microglia 23,58.0,0.388,95.0,0,0,0.0,NA,0,0.0,NA
astrocytes 4,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 0,2078.0,0.117,57.0,238,1,0.42,NA,237,99.58,3.64 (3.42-3.86)
microglia 1,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 3,639.0,0.081,37.0,15,3,20.0,0.35 (0.26-0.44),12,80.0,4.20 (2.87-5.53)
oligodendrocytes 2,1630.0,0.121,14.0,154,0,0.0,NA,154,100.0,3.24 (2.98-3.51)
