tipo_celular,module_size,ARL1_MM,ARL1_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,,,,0,0,0.0,NA,0,0.0,NA
T cells 18,,,,0,0,0.0,NA,0,0.0,NA
astrocytes 5,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocyte progenitor cells 7,296.0,0.118,13.0,251,5,1.99,2.86 (NA-NA),246,98.01,4.07 (3.83-4.31)
GABA neurons expressing GLU receptors 22,400.0,0.189,45.0,24,13,54.17,1.83 (1.06-2.59),11,45.83,2.54 (1.94-3.15)
GLU like neurons 17,,,,0,0,0.0,NA,0,0.0,NA
da like neurons 11,1220.0,0.22,63.0,410,31,7.56,3.02 (2.61-3.43),379,92.44,4.35 (4.16-4.55)
GABA neurons expressing GABA receptors 13,65.0,0.114,13.0,2,0,0.0,NA,2,100.0,4.02 (3.45-4.59)
endothelial cells 9,916.0,0.144,29.0,302,6,1.99,1.80 (0.91-2.70),296,98.01,4.04 (3.82-4.27)
oligodendrocytes 20,271.0,0.036,3.0,8,0,0.0,NA,8,100.0,3.49 (2.00-4.99)
GABA like neurons 14,2402.0,0.271,60.0,455,37,8.13,2.52 (1.97-3.07),418,91.87,4.51 (4.33-4.70)
astrocytes 8,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocyte progenitor cells 12,3303.0,0.049,14.0,276,28,10.14,3.00 (2.52-3.49),248,89.86,3.62 (3.39-3.86)
oligodendrocytes 10,806.0,0.23,69.0,261,23,8.81,2.64 (2.20-3.08),238,91.19,4.51 (4.26-4.76)
connective tissue cells 21,106.0,0.323,73.0,4,0,0.0,NA,4,100.0,4.98 (4.91-5.06)
astrocytes 15,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 16,81.0,0.245,68.0,11,1,9.09,NA,10,90.91,1.43 (0.65-2.21)
da neurons 6,409.0,0.104,35.0,235,9,3.83,2.07 (1.09-3.05),226,96.17,4.05 (3.79-4.30)
astrocytes microglia 23,134.0,0.574,100.0,2,0,0.0,NA,2,100.0,2.08 (-0.39-4.55)
astrocytes 4,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 0,2078.0,0.097,18.0,238,15,6.3,3.14 (2.36-3.92),223,93.7,3.68 (3.45-3.91)
microglia 1,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 3,457.0,0.109,46.0,345,36,10.43,2.91 (2.61-3.21),309,89.57,4.47 (4.25-4.69)
oligodendrocytes 2,1630.0,0.165,90.0,154,0,0.0,NA,154,100.0,3.24 (2.98-3.51)
