tipo_celular,module_size,EFS_MM,EFS_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,,,,0,0,0.0,NA,0,0.0,NA
T cells 18,,,,0,0,0.0,NA,0,0.0,NA
astrocytes 5,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocyte progenitor cells 7,4285.0,0.133,47.0,353,5,1.42,0.78 (0.16-1.41),348,98.58,3.95 (3.76-4.13)
GABA neurons expressing GLU receptors 22,,,,0,0,0.0,NA,0,0.0,NA
GLU like neurons 17,,,,0,0,0.0,NA,0,0.0,NA
da like neurons 11,,,,0,0,0.0,NA,0,0.0,NA
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA
endothelial cells 9,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 20,938.0,0.056,15.0,169,5,2.96,1.82 (-1.01-4.65),164,97.04,3.52 (3.30-3.73)
GABA like neurons 14,,,,0,0,0.0,NA,0,0.0,NA
astrocytes 8,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocyte progenitor cells 12,218.0,0.026,2.0,1,0,0.0,NA,1,100.0,2.68 (NA-NA)
oligodendrocytes 10,1277.0,0.099,44.0,27,0,0.0,NA,27,100.0,5.41 (4.54-6.27)
connective tissue cells 21,,,,0,0,0.0,NA,0,0.0,NA
astrocytes 15,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 16,75.0,0.092,2.0,1,0,0.0,NA,1,100.0,NA
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA
astrocytes microglia 23,,,,0,0,0.0,NA,0,0.0,NA
astrocytes 4,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 0,479.0,0.137,37.0,40,2,5.0,4.80 (4.77-4.83),38,95.0,5.93 (5.39-6.48)
microglia 1,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 3,639.0,0.053,10.0,15,2,13.33,0.61 (-0.07-1.28),13,86.67,3.81 (2.38-5.23)
oligodendrocytes 2,528.0,0.144,16.0,175,6,3.43,3.42 (1.32-5.52),169,96.57,4.40 (4.05-4.76)
