tipo_celular,module_size,WDR70_MM,WDR70_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,235.0,0.168,31.0,140,0,0.0,NA,140,100.0,4.56 (4.27-4.84)
T cells 18,624.0,0.129,30.0,142,1,0.7,6.31 (NA-NA),141,99.3,3.18 (2.92-3.45)
astrocytes 5,1141.0,0.141,65.0,166,10,6.02,1.89 (1.27-2.51),156,93.98,3.51 (3.25-3.77)
oligodendrocyte progenitor cells 7,448.0,0.178,76.0,108,0,0.0,NA,108,100.0,3.26 (2.82-3.69)
GABA neurons expressing GLU receptors 22,714.0,0.204,61.0,17,5,29.41,2.70 (2.17-3.23),12,70.59,2.15 (1.35-2.94)
GLU like neurons 17,1316.0,0.132,58.0,101,0,0.0,NA,101,100.0,3.05 (2.70-3.40)
da like neurons 11,137.0,0.445,98.0,2,0,0.0,NA,2,100.0,5.16 (NA-NA)
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA
endothelial cells 9,1653.0,0.178,82.0,297,2,0.67,4.17 (-0.01-8.36),295,99.33,3.67 (3.47-3.87)
oligodendrocytes 20,295.0,0.346,88.0,28,0,0.0,NA,28,100.0,2.19 (1.73-2.65)
GABA like neurons 14,1300.0,0.218,56.0,306,2,0.65,1.95 (NA-NA),304,99.35,5.11 (4.84-5.37)
astrocytes 8,727.0,0.162,78.0,29,0,0.0,NA,29,100.0,2.37 (1.87-2.86)
oligodendrocyte progenitor cells 12,138.0,0.429,32.0,5,0,0.0,NA,5,100.0,4.33 (4.33-4.33)
oligodendrocytes 10,2107.0,0.348,94.0,358,19,5.31,2.06 (1.22-2.90),339,94.69,3.99 (3.80-4.18)
connective tissue cells 21,114.0,0.307,67.0,11,2,18.18,0.79 (0.03-1.55),9,81.82,1.81 (0.52-3.10)
astrocytes 15,1768.0,0.113,74.0,105,6,5.71,1.76 (1.17-2.35),99,94.29,3.31 (2.96-3.65)
oligodendrocytes 16,75.0,0.161,26.0,1,0,0.0,NA,1,100.0,NA
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA
astrocytes microglia 23,229.0,0.144,2.0,99,0,0.0,NA,99,100.0,4.30 (3.96-4.63)
astrocytes 4,752.0,0.144,36.0,96,2,2.08,1.57 (1.57-1.57),94,97.92,3.34 (3.00-3.67)
oligodendrocytes 0,1186.0,0.125,22.0,300,1,0.33,2.04 (NA-NA),299,99.67,3.80 (3.59-4.01)
microglia 1,315.0,0.182,55.0,144,0,0.0,NA,144,100.0,4.46 (4.15-4.77)
oligodendrocytes 3,854.0,0.11,71.0,76,1,1.32,6.31 (NA-NA),75,98.68,2.73 (2.41-3.05)
oligodendrocytes 2,804.0,0.118,12.0,84,1,1.19,NA,83,98.81,2.69 (2.35-3.02)
