tipo_celular,module_size,MAP7_MM,MAP7_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,,,,0,0,0.0,NA,0,0.0,NA
T cells 18,349.0,0.671,98.0,68,10,14.71,3.91 (3.01-4.80),58,85.29,4.45 (3.82-5.09)
astrocytes 5,165.0,0.116,15.0,51,0,0.0,NA,51,100.0,5.35 (4.68-6.01)
oligodendrocyte progenitor cells 7,229.0,0.455,95.0,45,0,0.0,NA,45,100.0,5.01 (4.39-5.62)
GABA neurons expressing GLU receptors 22,567.0,0.177,44.0,16,3,18.75,2.91 (1.29-4.54),13,81.25,1.72 (1.02-2.41)
GLU like neurons 17,637.0,0.417,93.0,91,13,14.29,2.10 (1.15-3.04),78,85.71,5.12 (4.63-5.62)
da like neurons 11,408.0,0.394,85.0,25,4,16.0,1.42 (0.66-2.18),21,84.0,5.41 (4.04-6.79)
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA
endothelial cells 9,450.0,0.74,99.0,74,10,13.51,4.68 (3.45-5.92),64,86.49,5.62 (5.01-6.23)
oligodendrocytes 20,676.0,0.168,40.0,110,9,8.18,3.72 (2.83-4.61),101,91.82,5.12 (4.64-5.59)
GABA like neurons 14,1300.0,0.037,2.0,306,17,5.56,3.89 (2.71-5.07),289,94.44,5.19 (4.92-5.45)
astrocytes 8,771.0,0.43,89.0,48,0,0.0,NA,48,100.0,4.43 (3.68-5.18)
oligodendrocyte progenitor cells 12,708.0,0.643,100.0,25,2,8.0,1.22 (-0.77-3.20),23,92.0,3.04 (2.01-4.08)
oligodendrocytes 10,204.0,0.576,91.0,92,0,0.0,NA,92,100.0,5.70 (5.23-6.17)
connective tissue cells 21,250.0,0.817,100.0,117,3,2.56,2.68 (0.83-4.53),114,97.44,5.47 (5.08-5.86)
astrocytes 15,208.0,0.213,55.0,4,0,0.0,NA,4,100.0,3.12 (0.87-5.36)
oligodendrocytes 16,199.0,0.12,9.0,3,0,0.0,NA,3,100.0,5.28 (1.90-8.66)
da neurons 6,398.0,0.502,96.0,138,8,5.8,3.01 (1.78-4.24),130,94.2,4.96 (4.58-5.33)
astrocytes microglia 23,166.0,0.25,34.0,7,0,0.0,NA,7,100.0,4.32 (3.39-5.25)
astrocytes 4,102.0,0.088,1.0,42,0,0.0,NA,42,100.0,5.68 (4.96-6.40)
oligodendrocytes 0,86.0,0.161,50.0,2,0,0.0,NA,2,100.0,NA
microglia 1,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 3,681.0,0.136,80.0,87,7,8.05,2.21 (0.91-3.50),80,91.95,2.62 (2.35-2.89)
oligodendrocytes 2,526.0,0.031,0.0,213,1,0.47,2.97 (NA-NA),212,99.53,3.99 (3.71-4.26)
