tipo_celular,module_size,NMT2_MM,NMT2_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,,,,0,0,0.0,NA,0,0.0,NA
T cells 18,727.0,0.074,5.0,49,2,4.08,3.04 (2.03-4.05),47,95.92,2.40 (1.99-2.81)
astrocytes 5,1656.0,0.073,3.0,136,4,2.94,2.00 (1.10-2.90),132,97.06,3.25 (2.97-3.53)
oligodendrocyte progenitor cells 7,4285.0,0.097,8.0,353,24,6.8,1.68 (1.21-2.15),329,93.2,4.10 (3.92-4.28)
GABA neurons expressing GLU receptors 22,487.0,0.092,5.0,73,2,2.74,1.37 (1.27-1.47),71,97.26,2.80 (2.41-3.19)
GLU like neurons 17,489.0,0.076,10.0,42,1,2.38,2.68 (NA-NA),41,97.62,6.11 (5.58-6.64)
da like neurons 11,82.0,0.294,61.0,0,0,0.0,NA,0,0.0,NA
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA
endothelial cells 9,658.0,0.111,16.0,120,16,13.33,2.77 (2.49-3.05),104,86.67,4.94 (4.61-5.26)
oligodendrocytes 20,322.0,0.11,43.0,10,0,0.0,NA,10,100.0,1.41 (0.38-2.43)
GABA like neurons 14,2090.0,0.116,23.0,74,1,1.35,2.53 (NA-NA),73,98.65,2.95 (2.57-3.33)
astrocytes 8,1266.0,0.077,45.0,66,11,16.67,1.54 (0.73-2.35),55,83.33,3.63 (3.22-4.03)
oligodendrocyte progenitor cells 12,1049.0,0.12,64.0,235,1,0.43,1.29 (NA-NA),234,99.57,3.84 (3.61-4.07)
oligodendrocytes 10,1277.0,0.03,3.0,27,0,0.0,NA,27,100.0,5.41 (4.54-6.27)
connective tissue cells 21,77.0,0.303,58.0,3,0,0.0,NA,3,100.0,2.87 (-1.86-7.60)
astrocytes 15,443.0,0.151,49.0,9,2,22.22,2.04 (-0.10-4.18),7,77.78,3.68 (2.17-5.18)
oligodendrocytes 16,155.0,0.286,81.0,8,5,62.5,2.71 (-1.67-7.09),3,37.5,2.72 (-2.11-7.56)
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA
astrocytes microglia 23,115.0,0.3,44.0,0,0,0.0,NA,0,0.0,NA
astrocytes 4,787.0,0.127,13.0,65,0,0.0,NA,65,100.0,2.96 (2.57-3.36)
oligodendrocytes 0,2078.0,0.075,3.0,238,8,3.36,2.70 (1.97-3.44),230,96.64,3.67 (3.45-3.90)
microglia 1,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 3,681.0,0.04,3.0,87,12,13.79,1.67 (0.83-2.51),75,86.21,2.74 (2.48-3.01)
oligodendrocytes 2,1630.0,0.097,2.0,154,0,0.0,NA,154,100.0,3.24 (2.98-3.51)
