tipo_celular,module_size,ALDH3A2_MM,ALDH3A2_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,,,,0,0,0.0,NA,0,0.0,NA
T cells 18,,,,0,0,0.0,NA,0,0.0,NA
astrocytes 5,1656.0,0.121,59.0,136,9,6.62,3.76 (3.68-3.85),127,93.38,3.18 (2.90-3.47)
oligodendrocyte progenitor cells 7,4285.0,0.142,61.0,353,21,5.95,1.41 (0.86-1.96),332,94.05,4.05 (3.88-4.23)
GABA neurons expressing GLU receptors 22,567.0,0.25,72.0,16,1,6.25,1.95 (NA-NA),15,93.75,1.97 (1.25-2.70)
GLU like neurons 17,637.0,0.145,45.0,91,13,14.29,1.89 (0.87-2.91),78,85.71,5.17 (4.71-5.64)
da like neurons 11,1220.0,0.11,20.0,410,11,2.68,3.10 (2.42-3.78),399,97.32,4.29 (4.10-4.48)
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA
endothelial cells 9,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 20,250.0,0.173,48.0,14,0,0.0,NA,14,100.0,1.92 (1.21-2.62)
GABA like neurons 14,3052.0,0.14,51.0,125,0,0.0,NA,125,100.0,3.35 (3.03-3.68)
astrocytes 8,771.0,0.044,9.0,48,0,0.0,NA,48,100.0,4.43 (3.68-5.18)
oligodendrocyte progenitor cells 12,3303.0,0.085,58.0,276,8,2.9,1.80 (0.99-2.62),268,97.1,3.60 (3.38-3.82)
oligodendrocytes 10,806.0,0.152,48.0,261,10,3.83,3.18 (2.49-3.87),251,96.17,4.43 (4.18-4.68)
connective tissue cells 21,142.0,0.323,52.0,55,4,7.27,1.30 (-0.30-2.90),51,92.73,3.77 (2.90-4.64)
astrocytes 15,443.0,0.224,89.0,9,1,11.11,0.95 (NA-NA),8,88.89,3.60 (2.32-4.88)
oligodendrocytes 16,91.0,0.142,12.0,5,0,0.0,NA,5,100.0,1.75 (0.02-3.49)
da neurons 6,518.0,0.101,40.0,122,17,13.93,2.29 (1.58-2.99),105,86.07,4.37 (3.96-4.78)
astrocytes microglia 23,124.0,0.342,67.0,1,0,0.0,NA,1,100.0,4.05 (NA-NA)
astrocytes 4,1807.0,0.116,9.0,104,13,12.5,2.25 (1.45-3.04),91,87.5,2.96 (2.66-3.26)
oligodendrocytes 0,613.0,0.164,70.0,127,0,0.0,NA,127,100.0,3.05 (2.64-3.46)
microglia 1,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 3,681.0,0.126,75.0,87,7,8.05,1.26 (0.44-2.09),80,91.95,2.71 (2.44-2.98)
oligodendrocytes 2,921.0,0.169,91.0,200,2,1.0,1.99 (1.51-2.47),198,99.0,3.64 (3.37-3.91)
