tipo_celular,module_size,DSEL_MM,DSEL_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,,,,0,0,0.0,NA,0,0.0,NA
T cells 18,,,,0,0,0.0,NA,0,0.0,NA
astrocytes 5,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocyte progenitor cells 7,628.0,0.14,31.0,164,1,0.61,1.29 (NA-NA),163,99.39,4.11 (3.78-4.43)
GABA neurons expressing GLU receptors 22,848.0,0.187,41.0,262,4,1.53,1.14 (0.30-1.98),258,98.47,4.22 (3.98-4.47)
GLU like neurons 17,,,,0,0,0.0,NA,0,0.0,NA
da like neurons 11,1220.0,0.089,10.0,410,7,1.71,2.83 (2.19-3.47),403,98.29,4.28 (4.09-4.47)
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA
endothelial cells 9,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 20,275.0,0.142,28.0,17,0,0.0,NA,17,100.0,1.72 (1.15-2.29)
GABA like neurons 14,2402.0,0.143,22.0,455,18,3.96,1.64 (1.03-2.25),437,96.04,4.50 (4.32-4.68)
astrocytes 8,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocyte progenitor cells 12,143.0,0.476,86.0,1,0,0.0,NA,1,100.0,7.70 (NA-NA)
oligodendrocytes 10,806.0,0.098,26.0,261,4,1.53,2.03 (1.37-2.69),257,98.47,4.41 (4.17-4.66)
connective tissue cells 21,84.0,0.156,3.0,1,0,0.0,NA,1,100.0,NA
astrocytes 15,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 16,91.0,0.177,26.0,5,0,0.0,NA,5,100.0,1.75 (0.02-3.49)
da neurons 6,228.0,0.107,60.0,2,0,0.0,NA,2,100.0,2.12 (-0.17-4.40)
astrocytes microglia 23,,,,0,0,0.0,NA,0,0.0,NA
astrocytes 4,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 0,187.0,0.156,44.0,14,0,0.0,NA,14,100.0,5.53 (4.92-6.14)
microglia 1,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 3,187.0,0.095,42.0,2,0,0.0,NA,2,100.0,3.78 (NA-NA)
oligodendrocytes 2,528.0,0.147,18.0,175,3,1.71,2.49 (1.29-3.69),172,98.29,4.43 (4.08-4.78)
