tipo_celular,module_size,MSANTD4_MM,MSANTD4_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,,,,0,0,0.0,NA,0,0.0,NA
T cells 18,,,,0,0,0.0,NA,0,0.0,NA
astrocytes 5,1656.0,0.133,79.0,136,0,0.0,NA,136,100.0,3.21 (2.94-3.48)
oligodendrocyte progenitor cells 7,4285.0,0.162,88.0,353,8,2.27,0.72 (0.33-1.11),345,97.73,3.98 (3.80-4.16)
GABA neurons expressing GLU receptors 22,400.0,0.117,10.0,24,5,20.83,0.42 (0.32-0.52),19,79.17,2.61 (2.16-3.07)
GLU like neurons 17,1316.0,0.072,9.0,101,0,0.0,NA,101,100.0,3.05 (2.70-3.40)
da like neurons 11,1220.0,0.103,17.0,410,1,0.24,0.55 (NA-NA),409,99.76,4.26 (4.07-4.45)
GABA neurons expressing GABA receptors 13,200.0,0.108,13.0,34,0,0.0,NA,34,100.0,3.89 (3.01-4.76)
endothelial cells 9,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 20,358.0,0.019,3.0,31,0,0.0,NA,31,100.0,2.36 (1.93-2.79)
GABA like neurons 14,2402.0,0.13,18.0,455,7,1.54,0.55 (0.33-0.77),448,98.46,4.42 (4.24-4.60)
astrocytes 8,354.0,0.046,9.0,8,0,0.0,NA,8,100.0,0.78 (0.08-1.47)
oligodendrocyte progenitor cells 12,3303.0,0.092,66.0,276,3,1.09,1.22 (0.43-2.02),273,98.91,3.57 (3.36-3.79)
oligodendrocytes 10,806.0,0.091,23.0,261,0,0.0,NA,261,100.0,4.36 (4.12-4.61)
connective tissue cells 21,,,,0,0,0.0,NA,0,0.0,NA
astrocytes 15,418.0,0.077,43.0,54,0,0.0,NA,54,100.0,3.68 (3.24-4.12)
oligodendrocytes 16,82.0,0.171,26.0,0,0,0.0,NA,0,0.0,NA
da neurons 6,518.0,0.094,32.0,122,4,3.28,0.85 (0.13-1.57),118,96.72,4.13 (3.74-4.51)
astrocytes microglia 23,58.0,0.221,9.0,0,0,0.0,NA,0,0.0,NA
astrocytes 4,1807.0,0.154,67.0,104,4,3.85,1.05 (0.40-1.71),100,96.15,2.94 (2.66-3.22)
oligodendrocytes 0,187.0,0.141,32.0,14,0,0.0,NA,14,100.0,5.53 (4.92-6.14)
microglia 1,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 3,854.0,0.082,40.0,76,0,0.0,NA,76,100.0,2.78 (2.45-3.11)
oligodendrocytes 2,1630.0,0.135,34.0,154,0,0.0,NA,154,100.0,3.24 (2.98-3.51)
