tipo_celular,module_size,LRFN5_MM,LRFN5_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,,,,0,0,0.0,NA,0,0.0,NA
T cells 18,,,,0,0,0.0,NA,0,0.0,NA
astrocytes 5,156.0,0.166,64.0,0,0,0.0,NA,0,0.0,NA
oligodendrocyte progenitor cells 7,436.0,0.141,58.0,219,19,8.68,5.98 (4.99-6.98),200,91.32,5.11 (4.82-5.41)
GABA neurons expressing GLU receptors 22,714.0,0.17,44.0,17,0,0.0,NA,17,100.0,2.31 (1.72-2.89)
GLU like neurons 17,795.0,0.3,94.0,80,2,2.5,5.43 (3.35-7.51),78,97.5,5.69 (5.26-6.12)
da like neurons 11,191.0,0.188,35.0,93,22,23.66,6.01 (5.16-6.87),71,76.34,5.53 (5.08-5.99)
GABA neurons expressing GABA receptors 13,86.0,0.123,23.0,4,0,0.0,NA,4,100.0,3.07 (1.41-4.72)
endothelial cells 9,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 20,,,,0,0,0.0,NA,0,0.0,NA
GABA like neurons 14,1300.0,0.257,73.0,306,30,9.8,4.34 (3.44-5.24),276,90.2,5.22 (4.96-5.49)
astrocytes 8,218.0,0.086,47.0,9,0,0.0,NA,9,100.0,2.12 (1.21-3.03)
oligodendrocyte progenitor cells 12,153.0,0.43,60.0,27,3,11.11,4.32 (3.26-5.39),24,88.89,4.89 (3.62-6.16)
oligodendrocytes 10,,,,0,0,0.0,NA,0,0.0,NA
connective tissue cells 21,183.0,0.497,93.0,32,1,3.12,0.87 (NA-NA),31,96.88,5.26 (4.67-5.86)
astrocytes 15,338.0,0.035,2.0,14,0,0.0,NA,14,100.0,1.77 (1.03-2.51)
oligodendrocytes 16,,,,0,0,0.0,NA,0,0.0,NA
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA
astrocytes microglia 23,49.0,0.392,80.0,1,0,0.0,NA,1,100.0,6.09 (NA-NA)
astrocytes 4,201.0,0.191,66.0,18,1,5.56,2.46 (NA-NA),17,94.44,4.68 (3.78-5.58)
oligodendrocytes 0,,,,0,0,0.0,NA,0,0.0,NA
microglia 1,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 3,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 2,,,,0,0,0.0,NA,0,0.0,NA
