tipo_celular,module_size,RELL1_MM,RELL1_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,159.0,0.186,35.0,18,0,0.0,NA,18,100.0,2.04 (1.57-2.51)
T cells 18,727.0,0.191,83.0,49,0,0.0,NA,49,100.0,2.43 (2.03-2.82)
astrocytes 5,423.0,0.173,65.0,80,1,1.25,1.04 (NA-NA),79,98.75,3.44 (2.96-3.91)
oligodendrocyte progenitor cells 7,666.0,0.194,68.0,127,14,11.02,2.32 (1.80-2.84),113,88.98,4.13 (3.77-4.48)
GABA neurons expressing GLU receptors 22,,,,0,0,0.0,NA,0,0.0,NA
GLU like neurons 17,685.0,0.09,22.0,135,16,11.85,2.24 (1.65-2.84),119,88.15,3.33 (3.00-3.66)
da like neurons 11,,,,0,0,0.0,NA,0,0.0,NA
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA
endothelial cells 9,412.0,0.209,63.0,141,3,2.13,0.90 (0.75-1.04),138,97.87,3.01 (2.77-3.25)
oligodendrocytes 20,938.0,0.226,87.0,169,2,1.18,0.38 (0.04-0.71),167,98.82,3.53 (3.31-3.74)
GABA like neurons 14,,,,0,0,0.0,NA,0,0.0,NA
astrocytes 8,727.0,0.109,50.0,29,0,0.0,NA,29,100.0,2.37 (1.87-2.86)
oligodendrocyte progenitor cells 12,3303.0,0.119,89.0,276,8,2.9,1.77 (0.91-2.63),268,97.1,3.61 (3.39-3.83)
oligodendrocytes 10,2107.0,0.062,10.0,358,13,3.63,1.03 (0.67-1.40),345,96.37,4.01 (3.82-4.19)
connective tissue cells 21,88.0,0.259,36.0,0,0,0.0,NA,0,0.0,NA
astrocytes 15,1768.0,0.031,3.0,105,3,2.86,0.90 (-0.14-1.94),102,97.14,3.29 (2.95-3.62)
oligodendrocytes 16,156.0,0.234,75.0,3,0,0.0,NA,3,100.0,0.40 (0.24-0.56)
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA
astrocytes microglia 23,131.0,0.282,30.0,5,0,0.0,NA,5,100.0,0.46 (0.38-0.54)
astrocytes 4,514.0,0.174,45.0,95,4,4.21,1.16 (0.64-1.68),91,95.79,3.50 (3.07-3.92)
oligodendrocytes 0,2078.0,0.06,1.0,238,1,0.42,0.21 (NA-NA),237,99.58,3.65 (3.43-3.87)
microglia 1,480.0,0.101,6.0,163,15,9.2,3.43 (2.95-3.91),148,90.8,3.74 (3.45-4.02)
oligodendrocytes 3,242.0,0.101,33.0,6,0,0.0,NA,6,100.0,5.99 (5.03-6.94)
oligodendrocytes 2,347.0,0.357,95.0,15,0,0.0,NA,15,100.0,4.87 (4.10-5.63)
