tipo_celular,module_size,TRERF1_MM,TRERF1_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,125.0,0.18,32.0,1,0,0.0,NA,1,100.0,0.55 (NA-NA)
T cells 18,388.0,0.117,29.0,84,9,10.71,2.55 (2.24-2.86),75,89.29,3.03 (2.66-3.39)
astrocytes 5,156.0,0.105,17.0,0,0,0.0,NA,0,0.0,NA
oligodendrocyte progenitor cells 7,436.0,0.09,23.0,219,1,0.46,5.64 (NA-NA),218,99.54,5.21 (4.92-5.50)
GABA neurons expressing GLU receptors 22,1069.0,0.255,94.0,37,6,16.22,2.19 (1.75-2.64),31,83.78,2.15 (1.61-2.69)
GLU like neurons 17,489.0,0.23,85.0,42,0,0.0,NA,42,100.0,5.99 (5.44-6.55)
da like neurons 11,97.0,0.365,81.0,0,0,0.0,NA,0,0.0,NA
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA
endothelial cells 9,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 20,,,,0,0,0.0,NA,0,0.0,NA
GABA like neurons 14,1300.0,0.34,95.0,306,14,4.58,2.26 (1.64-2.89),292,95.42,5.30 (5.04-5.55)
astrocytes 8,262.0,0.176,68.0,11,0,0.0,NA,11,100.0,1.91 (1.09-2.74)
oligodendrocyte progenitor cells 12,411.0,0.084,43.0,103,0,0.0,NA,103,100.0,5.55 (5.16-5.93)
oligodendrocytes 10,,,,0,0,0.0,NA,0,0.0,NA
connective tissue cells 21,111.0,0.358,78.0,10,0,0.0,NA,10,100.0,2.44 (1.89-3.00)
astrocytes 15,458.0,0.015,1.0,36,0,0.0,NA,36,100.0,3.77 (2.68-4.85)
oligodendrocytes 16,,,,0,0,0.0,NA,0,0.0,NA
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA
astrocytes microglia 23,116.0,0.222,8.0,2,0,0.0,NA,2,100.0,2.06 (0.32-3.80)
astrocytes 4,251.0,0.144,35.0,34,2,5.88,2.42 (2.37-2.47),32,94.12,5.49 (4.93-6.06)
oligodendrocytes 0,,,,0,0,0.0,NA,0,0.0,NA
microglia 1,1615.0,0.109,49.0,161,60,37.27,2.24 (1.95-2.53),101,62.73,4.13 (3.82-4.44)
oligodendrocytes 3,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 2,,,,0,0,0.0,NA,0,0.0,NA
