tipo_celular,module_size,PCMTD2_MM,PCMTD2_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,351.0,0.13,31.0,71,1,1.41,3.22 (NA-NA),70,98.59,2.61 (2.19-3.03)
T cells 18,388.0,0.09,13.0,84,1,1.19,NA,83,98.81,2.97 (2.65-3.30)
astrocytes 5,1656.0,0.129,72.0,136,0,0.0,NA,136,100.0,3.21 (2.94-3.48)
oligodendrocyte progenitor cells 7,628.0,0.108,11.0,164,0,0.0,NA,164,100.0,4.08 (3.76-4.41)
GABA neurons expressing GLU receptors 22,848.0,0.187,41.0,262,1,0.38,0.55 (NA-NA),261,99.62,4.18 (3.93-4.42)
GLU like neurons 17,1316.0,0.109,37.0,101,1,0.99,2.53 (NA-NA),100,99.01,3.06 (2.70-3.41)
da like neurons 11,853.0,0.072,8.0,133,1,0.75,3.22 (NA-NA),132,99.25,3.25 (2.94-3.57)
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA
endothelial cells 9,586.0,0.105,20.0,62,0,0.0,NA,62,100.0,4.05 (3.60-4.49)
oligodendrocytes 20,253.0,0.05,12.0,7,0,0.0,NA,7,100.0,0.94 (0.08-1.80)
GABA like neurons 14,3052.0,0.1,17.0,125,0,0.0,NA,125,100.0,3.35 (3.03-3.68)
astrocytes 8,771.0,0.047,12.0,48,0,0.0,NA,48,100.0,4.43 (3.68-5.18)
oligodendrocyte progenitor cells 12,218.0,0.361,77.0,1,1,100.0,2.68 (NA-NA),0,0.0,NA
oligodendrocytes 10,735.0,0.057,18.0,277,0,0.0,NA,277,100.0,3.89 (3.65-4.14)
connective tissue cells 21,102.0,0.322,70.0,5,0,0.0,NA,5,100.0,1.38 (1.02-1.75)
astrocytes 15,1401.0,0.087,52.0,96,0,0.0,NA,96,100.0,3.61 (3.16-4.06)
oligodendrocytes 16,92.0,0.109,8.0,0,0,0.0,NA,0,0.0,NA
da neurons 6,448.0,0.109,59.0,43,0,0.0,NA,43,100.0,3.28 (2.76-3.80)
astrocytes microglia 23,157.0,0.244,11.0,0,0,0.0,NA,0,0.0,NA
astrocytes 4,1807.0,0.163,82.0,104,5,4.81,2.18 (1.29-3.08),99,95.19,2.90 (2.61-3.19)
oligodendrocytes 0,1186.0,0.159,74.0,300,1,0.33,NA,299,99.67,3.79 (3.59-4.00)
microglia 1,1615.0,0.149,89.0,161,7,4.35,1.73 (0.88-2.59),154,95.65,3.36 (3.09-3.63)
oligodendrocytes 3,681.0,0.062,17.0,87,2,2.3,1.25 (-0.12-2.62),85,97.7,2.62 (2.34-2.89)
oligodendrocytes 2,921.0,0.165,89.0,200,0,0.0,NA,200,100.0,3.62 (3.36-3.89)
