tipo_celular,module_size,LAMTOR4_MM,LAMTOR4_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,185.0,0.175,33.0,98,4,4.08,1.45 (0.28-2.62),94,95.92,3.32 (2.84-3.80)
T cells 18,506.0,0.145,33.0,225,16,7.11,2.53 (2.06-3.01),209,92.89,3.73 (3.46-3.99)
astrocytes 5,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocyte progenitor cells 7,628.0,0.142,34.0,164,14,8.54,3.80 (3.21-4.38),150,91.46,4.12 (3.76-4.48)
GABA neurons expressing GLU receptors 22,599.0,0.209,49.0,22,0,0.0,NA,22,100.0,2.24 (1.45-3.03)
GLU like neurons 17,,,,0,0,0.0,NA,0,0.0,NA
da like neurons 11,1220.0,0.228,65.0,410,25,6.1,3.31 (2.83-3.79),385,93.9,4.33 (4.14-4.53)
GABA neurons expressing GABA receptors 13,417.0,0.158,49.0,213,19,8.92,2.00 (1.27-2.72),194,91.08,3.99 (3.75-4.22)
endothelial cells 9,916.0,0.367,81.0,302,7,2.32,2.07 (1.13-3.01),295,97.68,4.04 (3.82-4.27)
oligodendrocytes 20,938.0,0.164,68.0,169,18,10.65,2.91 (2.36-3.47),151,89.35,3.57 (3.33-3.80)
GABA like neurons 14,2402.0,0.348,74.0,455,31,6.81,2.90 (2.33-3.47),424,93.19,4.49 (4.30-4.68)
astrocytes 8,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocyte progenitor cells 12,1049.0,0.163,78.0,235,12,5.11,3.58 (3.12-4.05),223,94.89,3.84 (3.59-4.09)
oligodendrocytes 10,735.0,0.167,81.0,277,0,0.0,NA,277,100.0,3.89 (3.65-4.14)
connective tissue cells 21,301.0,0.265,19.0,158,9,5.7,2.80 (1.92-3.67),149,94.3,4.39 (4.00-4.77)
astrocytes 15,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 16,94.0,0.27,84.0,5,1,20.0,3.78 (NA-NA),4,80.0,2.59 (1.15-4.04)
da neurons 6,729.0,0.179,64.0,182,0,0.0,NA,182,100.0,3.64 (3.38-3.89)
astrocytes microglia 23,101.0,0.267,22.0,0,0,0.0,NA,0,0.0,NA
astrocytes 4,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 0,546.0,0.207,68.0,252,28,11.11,2.65 (2.00-3.30),224,88.89,4.33 (4.08-4.58)
microglia 1,406.0,0.212,57.0,278,4,1.44,4.28 (2.54-6.01),274,98.56,4.36 (4.09-4.64)
oligodendrocytes 3,303.0,0.15,56.0,154,0,0.0,NA,154,100.0,3.62 (3.30-3.94)
oligodendrocytes 2,526.0,0.309,64.0,213,2,0.94,NA,211,99.06,3.98 (3.70-4.25)
