tipo_celular,module_size,SYBU_MM,SYBU_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,,,,0,0,0.0,NA,0,0.0,NA
T cells 18,,,,0,0,0.0,NA,0,0.0,NA
astrocytes 5,1141.0,0.142,66.0,166,5,3.01,0.89 (0.33-1.45),161,96.99,3.49 (3.24-3.73)
oligodendrocyte progenitor cells 7,4285.0,0.116,23.0,353,21,5.95,1.94 (1.28-2.60),332,94.05,4.05 (3.87-4.23)
GABA neurons expressing GLU receptors 22,714.0,0.142,26.0,17,2,11.76,2.07 (2.05-2.09),15,88.24,2.34 (1.67-3.00)
GLU like neurons 17,1316.0,0.145,68.0,101,3,2.97,4.05 (NA-NA),98,97.03,3.04 (2.69-3.39)
da like neurons 11,197.0,0.328,84.0,0,0,0.0,NA,0,0.0,NA
GABA neurons expressing GABA receptors 13,200.0,0.157,53.0,34,0,0.0,NA,34,100.0,3.89 (3.01-4.76)
endothelial cells 9,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 20,,,,0,0,0.0,NA,0,0.0,NA
GABA like neurons 14,1300.0,0.183,38.0,306,17,5.56,3.08 (2.28-3.88),289,94.44,5.27 (5.01-5.54)
astrocytes 8,727.0,0.109,50.0,29,0,0.0,NA,29,100.0,2.37 (1.87-2.86)
oligodendrocyte progenitor cells 12,3303.0,0.092,66.0,276,17,6.16,3.10 (2.28-3.92),259,93.84,3.58 (3.35-3.80)
oligodendrocytes 10,,,,0,0,0.0,NA,0,0.0,NA
connective tissue cells 21,,,,0,0,0.0,NA,0,0.0,NA
astrocytes 15,1401.0,0.133,83.0,96,8,8.33,3.50 (2.45-4.55),88,91.67,3.62 (3.14-4.11)
oligodendrocytes 16,,,,0,0,0.0,NA,0,0.0,NA
da neurons 6,518.0,0.129,69.0,122,16,13.11,1.90 (1.30-2.50),106,86.89,4.42 (4.03-4.82)
astrocytes microglia 23,101.0,0.254,19.0,6,0,0.0,NA,6,100.0,4.26 (2.94-5.59)
astrocytes 4,255.0,0.266,90.0,12,0,0.0,NA,12,100.0,4.62 (3.76-5.48)
oligodendrocytes 0,,,,0,0,0.0,NA,0,0.0,NA
microglia 1,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 3,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 2,,,,0,0,0.0,NA,0,0.0,NA
