tipo_celular,module_size,YAP1_MM,YAP1_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,,,,0,0,0.0,NA,0,0.0,NA
T cells 18,,,,0,0,0.0,NA,0,0.0,NA
astrocytes 5,1141.0,0.131,50.0,166,54,32.53,2.90 (2.49-3.30),112,67.47,3.69 (3.39-4.00)
oligodendrocyte progenitor cells 7,,,,0,0,0.0,NA,0,0.0,NA
GABA neurons expressing GLU receptors 22,,,,0,0,0.0,NA,0,0.0,NA
GLU like neurons 17,,,,0,0,0.0,NA,0,0.0,NA
da like neurons 11,,,,0,0,0.0,NA,0,0.0,NA
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA
endothelial cells 9,1653.0,0.137,58.0,297,7,2.36,4.29 (3.26-5.32),290,97.64,3.66 (3.46-3.87)
oligodendrocytes 20,,,,0,0,0.0,NA,0,0.0,NA
GABA like neurons 14,,,,0,0,0.0,NA,0,0.0,NA
astrocytes 8,1266.0,0.141,85.0,66,37,56.06,2.79 (2.25-3.34),29,43.94,3.86 (3.29-4.44)
oligodendrocyte progenitor cells 12,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 10,,,,0,0,0.0,NA,0,0.0,NA
connective tissue cells 21,110.0,0.22,24.0,13,3,23.08,2.92 (0.96-4.87),10,76.92,3.17 (2.21-4.14)
astrocytes 15,1401.0,0.09,55.0,96,21,21.88,3.97 (3.24-4.70),75,78.12,3.50 (2.96-4.04)
oligodendrocytes 16,,,,0,0,0.0,NA,0,0.0,NA
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA
astrocytes microglia 23,166.0,0.355,77.0,7,0,0.0,NA,7,100.0,4.32 (3.39-5.25)
astrocytes 4,201.0,0.154,33.0,18,6,33.33,3.50 (3.01-3.98),12,66.67,5.16 (3.91-6.41)
oligodendrocytes 0,,,,0,0,0.0,NA,0,0.0,NA
microglia 1,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 3,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 2,,,,0,0,0.0,NA,0,0.0,NA
