tipo_celular,module_size,FUT10_MM,FUT10_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,401.0,0.052,2.0,19,0,0.0,NA,19,100.0,2.52 (1.81-3.24)
T cells 18,,,,0,0,0.0,NA,0,0.0,NA
astrocytes 5,932.0,0.116,61.0,80,1,1.25,6.08 (NA-NA),79,98.75,3.64 (3.23-4.04)
oligodendrocyte progenitor cells 7,4285.0,0.117,24.0,353,33,9.35,2.02 (1.61-2.42),320,90.65,4.15 (3.97-4.33)
GABA neurons expressing GLU receptors 22,,,,0,0,0.0,NA,0,0.0,NA
GLU like neurons 17,,,,0,0,0.0,NA,0,0.0,NA
da like neurons 11,,,,0,0,0.0,NA,0,0.0,NA
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA
endothelial cells 9,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 20,,,,0,0,0.0,NA,0,0.0,NA
GABA like neurons 14,2090.0,0.156,52.0,74,1,1.35,2.53 (NA-NA),73,98.65,2.95 (2.57-3.33)
astrocytes 8,1266.0,0.059,25.0,66,16,24.24,1.93 (1.24-2.62),50,75.76,3.73 (3.30-4.16)
oligodendrocyte progenitor cells 12,708.0,0.045,12.0,32,9,28.12,1.73 (0.69-2.76),23,71.88,3.96 (3.03-4.90)
oligodendrocytes 10,,,,0,0,0.0,NA,0,0.0,NA
connective tissue cells 21,82.0,0.284,65.0,19,0,0.0,NA,19,100.0,7.57 (7.32-7.82)
astrocytes 15,1768.0,0.099,62.0,105,21,20.0,2.12 (1.68-2.55),84,80.0,3.52 (3.13-3.90)
oligodendrocytes 16,,,,0,0,0.0,NA,0,0.0,NA
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA
astrocytes microglia 23,116.0,0.191,3.0,2,0,0.0,NA,2,100.0,2.06 (0.32-3.80)
astrocytes 4,201.0,0.155,34.0,18,0,0.0,NA,18,100.0,4.54 (3.65-5.42)
oligodendrocytes 0,,,,0,0,0.0,NA,0,0.0,NA
microglia 1,958.0,0.09,19.0,290,9,3.1,3.50 (2.20-4.79),281,96.9,3.83 (3.59-4.06)
oligodendrocytes 3,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 2,,,,0,0,0.0,NA,0,0.0,NA
