tipo_celular,module_size,HEATR1_MM,HEATR1_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,178.0,0.254,70.0,13,0,0.0,NA,13,100.0,1.68 (1.03-2.33)
T cells 18,727.0,0.165,66.0,49,0,0.0,NA,49,100.0,2.43 (2.03-2.82)
astrocytes 5,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocyte progenitor cells 7,4285.0,0.156,80.0,353,56,15.86,1.93 (1.68-2.19),297,84.14,4.40 (4.23-4.57)
GABA neurons expressing GLU receptors 22,599.0,0.18,32.0,22,1,4.55,0.94 (NA-NA),21,95.45,2.31 (1.48-3.13)
GLU like neurons 17,300.0,0.238,85.0,16,6,37.5,2.38 (1.62-3.14),10,62.5,1.86 (0.45-3.27)
da like neurons 11,101.0,0.348,74.0,0,0,0.0,NA,0,0.0,NA
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA
endothelial cells 9,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 20,279.0,0.354,86.0,16,0,0.0,NA,16,100.0,2.38 (1.63-3.13)
GABA like neurons 14,2090.0,0.094,11.0,74,11,14.86,2.10 (1.87-2.33),63,85.14,3.12 (2.68-3.55)
astrocytes 8,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocyte progenitor cells 12,708.0,0.034,3.0,25,1,4.0,0.21 (NA-NA),24,96.0,3.00 (2.02-3.99)
oligodendrocytes 10,2107.0,0.129,43.0,358,62,17.32,1.89 (1.66-2.13),296,82.68,4.46 (4.29-4.63)
connective tissue cells 21,126.0,0.378,94.0,7,3,42.86,1.36 (0.78-1.94),4,57.14,1.65 (-0.44-3.74)
astrocytes 15,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 16,116.0,0.248,84.0,3,0,0.0,NA,3,100.0,0.40 (0.12-0.68)
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA
astrocytes microglia 23,78.0,0.31,36.0,0,0,0.0,NA,0,0.0,NA
astrocytes 4,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 0,2078.0,0.108,37.0,238,13,5.46,2.33 (1.92-2.74),225,94.54,3.73 (3.50-3.95)
microglia 1,813.0,0.13,65.0,79,5,6.33,5.56 (4.50-6.61),74,93.67,2.92 (2.53-3.31)
oligodendrocytes 3,681.0,0.065,21.0,87,41,47.13,1.94 (1.70-2.18),46,52.87,3.26 (2.85-3.66)
oligodendrocytes 2,1630.0,0.128,24.0,154,6,3.9,4.24 (2.82-5.65),148,96.1,3.20 (2.93-3.47)
