tipo_celular,module_size,MFHAS1_MM,MFHAS1_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,500.0,0.203,69.0,32,0,0.0,NA,32,100.0,3.72 (2.95-4.50)
T cells 18,388.0,0.218,79.0,84,3,3.57,3.88 (3.43-4.32),81,96.43,2.94 (2.60-3.28)
astrocytes 5,322.0,0.19,58.0,58,18,31.03,3.01 (2.58-3.44),40,68.97,4.79 (4.30-5.28)
oligodendrocyte progenitor cells 7,666.0,0.185,64.0,127,19,14.96,2.91 (2.12-3.70),108,85.04,4.06 (3.70-4.42)
GABA neurons expressing GLU receptors 22,848.0,0.15,23.0,262,22,8.4,3.07 (2.20-3.93),240,91.6,4.26 (4.01-4.51)
GLU like neurons 17,1247.0,0.098,24.0,51,1,1.96,2.00 (NA-NA),50,98.04,3.66 (3.08-4.25)
da like neurons 11,197.0,0.138,28.0,0,0,0.0,NA,0,0.0,NA
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA
endothelial cells 9,658.0,0.251,65.0,120,21,17.5,3.18 (2.77-3.60),99,82.5,4.94 (4.60-5.28)
oligodendrocytes 20,,,,0,0,0.0,NA,0,0.0,NA
GABA like neurons 14,2090.0,0.141,41.0,74,0,0.0,NA,74,100.0,2.94 (2.57-3.32)
astrocytes 8,727.0,0.099,44.0,29,0,0.0,NA,29,100.0,2.37 (1.87-2.86)
oligodendrocyte progenitor cells 12,3303.0,0.034,4.0,276,19,6.88,2.23 (1.64-2.83),257,93.12,3.63 (3.41-3.86)
oligodendrocytes 10,,,,0,0,0.0,NA,0,0.0,NA
connective tissue cells 21,,,,0,0,0.0,NA,0,0.0,NA
astrocytes 15,1401.0,0.204,97.0,96,8,8.33,3.82 (2.31-5.33),88,91.67,3.59 (3.12-4.06)
oligodendrocytes 16,,,,0,0,0.0,NA,0,0.0,NA
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA
astrocytes microglia 23,89.0,0.32,70.0,0,0,0.0,NA,0,0.0,NA
astrocytes 4,752.0,0.136,26.0,96,2,2.08,2.64 (2.44-2.84),94,97.92,3.31 (2.97-3.64)
oligodendrocytes 0,,,,0,0,0.0,NA,0,0.0,NA
microglia 1,346.0,0.221,81.0,43,0,0.0,NA,43,100.0,3.77 (3.26-4.27)
oligodendrocytes 3,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 2,,,,0,0,0.0,NA,0,0.0,NA
