tipo_celular,module_size,CRTAP_MM,CRTAP_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,181.0,0.24,69.0,8,0,0.0,NA,8,100.0,1.27 (0.48-2.07)
T cells 18,,,,0,0,0.0,NA,0,0.0,NA
astrocytes 5,1656.0,0.103,31.0,136,5,3.68,1.98 (1.09-2.87),131,96.32,3.26 (2.99-3.54)
oligodendrocyte progenitor cells 7,4285.0,0.125,34.0,353,33,9.35,1.70 (1.35-2.05),320,90.65,4.19 (4.02-4.37)
GABA neurons expressing GLU receptors 22,,,,0,0,0.0,NA,0,0.0,NA
GLU like neurons 17,,,,0,0,0.0,NA,0,0.0,NA
da like neurons 11,,,,0,0,0.0,NA,0,0.0,NA
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA
endothelial cells 9,916.0,0.089,12.0,302,7,2.32,2.69 (1.42-3.95),295,97.68,4.02 (3.79-4.25)
oligodendrocytes 20,,,,0,0,0.0,NA,0,0.0,NA
GABA like neurons 14,3052.0,0.109,25.0,125,1,0.8,3.00 (NA-NA),124,99.2,3.36 (3.03-3.68)
astrocytes 8,354.0,0.109,45.0,8,0,0.0,NA,8,100.0,0.78 (0.08-1.47)
oligodendrocyte progenitor cells 12,3303.0,0.068,36.0,276,24,8.7,1.92 (1.53-2.31),252,91.3,3.75 (3.53-3.97)
oligodendrocytes 10,,,,0,0,0.0,NA,0,0.0,NA
connective tissue cells 21,126.0,0.363,92.0,7,1,14.29,0.82 (NA-NA),6,85.71,1.64 (0.49-2.79)
astrocytes 15,1768.0,0.153,92.0,105,21,20.0,1.76 (1.39-2.14),84,80.0,3.61 (3.25-3.98)
oligodendrocytes 16,,,,0,0,0.0,NA,0,0.0,NA
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA
astrocytes microglia 23,161.0,0.292,34.0,0,0,0.0,NA,0,0.0,NA
astrocytes 4,1807.0,0.168,88.0,104,19,18.27,1.74 (1.27-2.22),85,81.73,3.14 (2.84-3.44)
oligodendrocytes 0,,,,0,0,0.0,NA,0,0.0,NA
microglia 1,1615.0,0.085,16.0,161,26,16.15,1.51 (1.12-1.91),135,83.85,3.70 (3.44-3.97)
oligodendrocytes 3,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 2,,,,0,0,0.0,NA,0,0.0,NA
