tipo_celular,module_size,PPM1D_MM,PPM1D_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,125.0,0.228,59.0,1,0,0.0,NA,1,100.0,0.55 (NA-NA)
T cells 18,477.0,0.134,32.0,43,0,0.0,NA,43,100.0,2.03 (1.52-2.53)
astrocytes 5,423.0,0.121,30.0,80,2,2.5,2.41 (-0.28-5.09),78,97.5,3.43 (2.95-3.91)
oligodendrocyte progenitor cells 7,666.0,0.157,42.0,127,6,4.72,1.93 (0.69-3.17),121,95.28,3.95 (3.61-4.28)
GABA neurons expressing GLU receptors 22,567.0,0.182,47.0,16,1,6.25,1.95 (NA-NA),15,93.75,1.97 (1.25-2.70)
GLU like neurons 17,1247.0,0.097,23.0,51,1,1.96,3.78 (NA-NA),50,98.04,3.62 (3.03-4.21)
da like neurons 11,,,,0,0,0.0,NA,0,0.0,NA
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA
endothelial cells 9,1653.0,0.122,46.0,297,5,1.68,3.92 (2.55-5.29),292,98.32,3.67 (3.46-3.88)
oligodendrocytes 20,348.0,0.06,29.0,33,10,30.3,3.48 (3.10-3.86),23,69.7,2.36 (1.71-3.01)
GABA like neurons 14,2090.0,0.099,13.0,74,15,20.27,2.25 (2.01-2.49),59,79.73,3.14 (2.67-3.60)
astrocytes 8,771.0,0.043,8.0,48,1,2.08,0.79 (NA-NA),47,97.92,4.53 (3.78-5.27)
oligodendrocyte progenitor cells 12,708.0,0.05,10.0,25,1,4.0,0.21 (NA-NA),24,96.0,3.00 (2.02-3.99)
oligodendrocytes 10,2107.0,0.107,32.0,358,72,20.11,2.30 (2.00-2.59),286,79.89,4.40 (4.21-4.59)
connective tissue cells 21,104.0,0.393,94.0,3,0,0.0,NA,3,100.0,1.89 (-1.31-5.09)
astrocytes 15,1401.0,0.09,54.0,96,6,6.25,2.80 (1.79-3.81),90,93.75,3.68 (3.20-4.16)
oligodendrocytes 16,64.0,0.224,74.0,1,0,0.0,NA,1,100.0,2.12 (NA-NA)
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA
astrocytes microglia 23,39.0,0.271,24.0,0,0,0.0,NA,0,0.0,NA
astrocytes 4,1807.0,0.135,32.0,104,27,25.96,1.88 (1.53-2.22),77,74.04,3.25 (2.92-3.57)
oligodendrocytes 0,1186.0,0.148,58.0,300,10,3.33,3.91 (3.48-4.34),290,96.67,3.79 (3.57-4.00)
microglia 1,1615.0,0.137,82.0,161,55,34.16,2.26 (1.94-2.57),106,65.84,3.98 (3.66-4.29)
oligodendrocytes 3,1003.0,0.088,42.0,111,0,0.0,NA,111,100.0,3.30 (2.96-3.64)
oligodendrocytes 2,921.0,0.174,93.0,200,3,1.5,2.73 (0.56-4.90),197,98.5,3.64 (3.37-3.91)
