tipo_celular,module_size,TXNL1_MM,TXNL1_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,395,0.089,8.0,97,4,4.12,2.53 (NA-NA),93,95.88,3.06 (2.66-3.46)
T cells 18,393,0.182,66.0,59,0,0.0,NA,59,100.0,3.10 (2.60-3.61)
astrocytes 5,1656,0.129,71.0,136,0,0.0,NA,136,100.0,3.21 (2.94-3.48)
oligodendrocyte progenitor cells 7,4285,0.131,44.0,353,5,1.42,2.10 (0.84-3.35),348,98.58,3.92 (3.74-4.11)
GABA neurons expressing GLU receptors 22,400,0.248,78.0,24,3,12.5,1.58 (-0.37-3.52),21,87.5,2.24 (1.71-2.77)
GLU like neurons 17,1316,0.116,44.0,101,1,0.99,2.53 (NA-NA),100,99.01,3.06 (2.70-3.41)
da like neurons 11,209,0.201,61.0,0,0,0.0,NA,0,0.0,NA
GABA neurons expressing GABA receptors 13,65,0.148,43.0,2,0,0.0,NA,2,100.0,4.02 (3.45-4.59)
endothelial cells 9,385,0.097,42.0,275,3,1.09,1.58 (-0.37-3.52),272,98.91,3.99 (3.73-4.25)
oligodendrocytes 20,938,0.055,14.0,169,1,0.59,4.47 (NA-NA),168,99.41,3.47 (3.25-3.69)
GABA like neurons 14,2402,0.307,67.0,455,3,0.66,1.89 (-0.66-4.45),452,99.34,4.36 (4.18-4.55)
astrocytes 8,140,0.08,37.0,1,0,0.0,NA,1,100.0,NA
oligodendrocyte progenitor cells 12,1049,0.069,34.0,235,1,0.43,4.47 (NA-NA),234,99.57,3.82 (3.59-4.05)
oligodendrocytes 10,735,0.128,67.0,277,2,0.72,4.47 (NA-NA),275,99.28,3.89 (3.65-4.13)
connective tissue cells 21,142,0.309,45.0,55,0,0.0,NA,55,100.0,3.42 (2.58-4.26)
astrocytes 15,1768,0.047,11.0,105,2,1.9,2.87 (2.19-3.55),103,98.1,3.22 (2.88-3.56)
oligodendrocytes 16,121,0.181,26.0,8,0,0.0,NA,8,100.0,0.99 (0.10-1.89)
da neurons 6,409,0.142,59.0,235,1,0.43,4.47 (NA-NA),234,99.57,3.97 (3.72-4.22)
astrocytes microglia 23,125,0.262,19.0,6,0,0.0,NA,6,100.0,2.99 (2.22-3.77)
astrocytes 4,1807,0.16,79.0,104,2,1.92,2.87 (2.19-3.55),102,98.08,2.86 (2.58-3.15)
oligodendrocytes 0,2078,0.124,70.0,238,2,0.84,2.87 (2.19-3.55),236,99.16,3.64 (3.42-3.87)
microglia 1,214,0.099,14.0,227,1,0.44,4.47 (NA-NA),226,99.56,4.09 (3.85-4.33)
oligodendrocytes 3,743,0.083,53.0,76,0,0.0,NA,76,100.0,3.16 (2.77-3.55)
oligodendrocytes 2,921,0.131,38.0,200,0,0.0,NA,200,100.0,3.62 (3.36-3.89)
