tipo_celular,module_size,PDE6D_MM,PDE6D_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,249.0,0.09,5.0,35,0,0.0,NA,35,100.0,3.74 (2.80-4.69)
T cells 18,393.0,0.103,15.0,59,0,0.0,NA,59,100.0,3.10 (2.60-3.61)
astrocytes 5,423.0,0.113,23.0,80,0,0.0,NA,80,100.0,3.40 (2.93-3.88)
oligodendrocyte progenitor cells 7,666.0,0.118,15.0,127,1,0.79,3.18 (NA-NA),126,99.21,3.84 (3.50-4.18)
GABA neurons expressing GLU receptors 22,599.0,0.094,3.0,22,0,0.0,NA,22,100.0,2.24 (1.45-3.03)
GLU like neurons 17,,,,0,0,0.0,NA,0,0.0,NA
da like neurons 11,59.0,0.209,44.0,0,0,0.0,NA,0,0.0,NA
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA
endothelial cells 9,1653.0,0.076,11.0,297,2,0.67,NA,295,99.33,3.67 (3.47-3.88)
oligodendrocytes 20,221.0,0.375,89.0,12,0,0.0,NA,12,100.0,2.42 (0.83-4.00)
GABA like neurons 14,2090.0,0.094,11.0,74,0,0.0,NA,74,100.0,2.94 (2.57-3.32)
astrocytes 8,577.0,0.093,57.0,83,0,0.0,NA,83,100.0,3.25 (2.80-3.70)
oligodendrocyte progenitor cells 12,3303.0,0.061,27.0,276,2,0.72,1.25 (-0.12-2.62),274,99.28,3.56 (3.35-3.78)
oligodendrocytes 10,1277.0,0.085,34.0,27,0,0.0,NA,27,100.0,5.41 (4.54-6.27)
connective tissue cells 21,139.0,0.283,45.0,6,0,0.0,NA,6,100.0,1.24 (-0.25-2.73)
astrocytes 15,1401.0,0.042,10.0,96,2,2.08,NA,94,97.92,3.61 (3.16-4.06)
oligodendrocytes 16,65.0,0.195,50.0,0,0,0.0,NA,0,0.0,NA
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA
astrocytes microglia 23,96.0,0.271,25.0,0,0,0.0,NA,0,0.0,NA
astrocytes 4,1807.0,0.113,7.0,104,3,2.88,1.01 (0.10-1.93),101,97.12,2.92 (2.64-3.20)
oligodendrocytes 0,2078.0,0.093,12.0,238,0,0.0,NA,238,100.0,3.64 (3.42-3.86)
microglia 1,813.0,0.064,2.0,79,2,2.53,3.18 (3.18-3.18),77,97.47,3.10 (2.68-3.51)
oligodendrocytes 3,681.0,0.049,7.0,87,6,6.9,1.42 (0.26-2.58),81,93.1,2.66 (2.39-2.93)
oligodendrocytes 2,1630.0,0.133,32.0,154,0,0.0,NA,154,100.0,3.24 (2.98-3.51)
