tipo_celular,module_size,IRF2_MM,IRF2_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,352.0,0.186,55.0,73,3,4.11,3.06 (2.69-3.42),70,95.89,3.59 (3.23-3.95)
T cells 18,624.0,0.216,88.0,142,1,0.7,4.27 (NA-NA),141,99.3,3.20 (2.93-3.47)
astrocytes 5,932.0,0.092,24.0,80,2,2.5,4.37 (4.37-4.37),78,97.5,3.65 (3.23-4.07)
oligodendrocyte progenitor cells 7,4285.0,0.132,45.0,353,57,16.15,2.11 (1.83-2.38),296,83.85,4.36 (4.19-4.54)
GABA neurons expressing GLU receptors 22,1069.0,0.202,76.0,37,5,13.51,2.19 (1.75-2.64),32,86.49,2.15 (1.61-2.69)
GLU like neurons 17,637.0,0.119,32.0,91,11,12.09,1.45 (0.55-2.36),80,87.91,5.14 (4.69-5.60)
da like neurons 11,,,,0,0,0.0,NA,0,0.0,NA
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA
endothelial cells 9,1653.0,0.103,29.0,297,1,0.34,2.04 (NA-NA),296,99.66,3.68 (3.48-3.88)
oligodendrocytes 20,330.0,0.334,92.0,36,16,44.44,2.06 (1.76-2.36),20,55.56,1.79 (1.19-2.40)
GABA like neurons 14,3052.0,0.054,2.0,125,0,0.0,NA,125,100.0,3.35 (3.03-3.68)
astrocytes 8,727.0,0.195,88.0,29,0,0.0,NA,29,100.0,2.37 (1.87-2.86)
oligodendrocyte progenitor cells 12,1049.0,0.058,24.0,235,0,0.0,NA,235,100.0,3.82 (3.59-4.06)
oligodendrocytes 10,2107.0,0.152,52.0,358,72,20.11,2.22 (1.96-2.48),286,79.89,4.47 (4.29-4.66)
connective tissue cells 21,118.0,0.194,7.0,2,0,0.0,NA,2,100.0,6.60 (NA-NA)
astrocytes 15,338.0,0.121,27.0,14,0,0.0,NA,14,100.0,1.77 (1.03-2.51)
oligodendrocytes 16,82.0,0.199,47.0,0,0,0.0,NA,0,0.0,NA
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA
astrocytes microglia 23,255.0,0.33,93.0,57,5,8.77,2.70 (2.11-3.28),52,91.23,2.65 (2.25-3.04)
astrocytes 4,752.0,0.122,12.0,96,16,16.67,2.75 (2.36-3.14),80,83.33,3.43 (3.03-3.83)
oligodendrocytes 0,1186.0,0.154,66.0,300,14,4.67,3.40 (2.97-3.83),286,95.33,3.82 (3.60-4.03)
microglia 1,1615.0,0.137,82.0,161,56,34.78,2.12 (1.84-2.39),105,65.22,4.12 (3.82-4.43)
oligodendrocytes 3,187.0,0.104,51.0,2,0,0.0,NA,2,100.0,3.78 (NA-NA)
oligodendrocytes 2,804.0,0.145,43.0,84,3,3.57,0.66 (0.21-1.11),81,96.43,2.78 (2.45-3.12)
