tipo_celular,module_size,BRINP2_MM,BRINP2_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,,,,0,0,0.0,NA,0,0.0,NA
T cells 18,,,,0,0,0.0,NA,0,0.0,NA
astrocytes 5,423.0,0.139,42.0,80,1,1.25,1.04 (NA-NA),79,98.75,3.44 (2.96-3.91)
oligodendrocyte progenitor cells 7,4285.0,0.126,35.0,353,6,1.7,1.60 (0.59-2.62),347,98.3,3.94 (3.75-4.13)
GABA neurons expressing GLU receptors 22,823.0,0.224,78.0,23,0,0.0,NA,23,100.0,2.40 (1.67-3.12)
GLU like neurons 17,489.0,0.282,89.0,42,7,16.67,5.30 (3.72-6.88),35,83.33,6.10 (5.50-6.70)
da like neurons 11,142.0,0.303,73.0,2,0,0.0,NA,2,100.0,4.56 (NA-NA)
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA
endothelial cells 9,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 20,,,,0,0,0.0,NA,0,0.0,NA
GABA like neurons 14,3052.0,0.152,62.0,125,0,0.0,NA,125,100.0,3.35 (3.03-3.68)
astrocytes 8,1266.0,0.095,63.0,66,6,9.09,2.24 (0.80-3.69),60,90.91,3.34 (2.91-3.77)
oligodendrocyte progenitor cells 12,708.0,0.162,67.0,32,3,9.38,1.85 (0.29-3.40),29,90.62,3.41 (2.54-4.28)
oligodendrocytes 10,,,,0,0,0.0,NA,0,0.0,NA
connective tissue cells 21,,,,0,0,0.0,NA,0,0.0,NA
astrocytes 15,268.0,0.107,59.0,10,0,0.0,NA,10,100.0,3.69 (2.00-5.38)
oligodendrocytes 16,,,,0,0,0.0,NA,0,0.0,NA
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA
astrocytes microglia 23,111.0,0.302,41.0,0,0,0.0,NA,0,0.0,NA
astrocytes 4,251.0,0.154,44.0,34,0,0.0,NA,34,100.0,5.25 (4.63-5.86)
oligodendrocytes 0,,,,0,0,0.0,NA,0,0.0,NA
microglia 1,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 3,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 2,,,,0,0,0.0,NA,0,0.0,NA
