tipo_celular,module_size,NRP1_MM,NRP1_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,500.0,0.596,100.0,32,10,31.25,4.92 (3.83-6.01),22,68.75,3.02 (2.10-3.94)
T cells 18,,,,0,0,0.0,NA,0,0.0,NA
astrocytes 5,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocyte progenitor cells 7,,,,0,0,0.0,NA,0,0.0,NA
GABA neurons expressing GLU receptors 22,599.0,0.225,59.0,22,2,9.09,2.36 (-0.42-5.14),20,90.91,2.23 (1.38-3.08)
GLU like neurons 17,685.0,0.111,36.0,135,38,28.15,2.72 (2.28-3.17),97,71.85,3.40 (3.01-3.78)
da like neurons 11,,,,0,0,0.0,NA,0,0.0,NA
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA
endothelial cells 9,658.0,0.335,84.0,120,81,67.5,4.58 (4.22-4.94),39,32.5,4.69 (4.02-5.35)
oligodendrocytes 20,,,,0,0,0.0,NA,0,0.0,NA
GABA like neurons 14,2090.0,0.104,16.0,74,2,2.7,2.22 (1.63-2.82),72,97.3,2.96 (2.58-3.35)
astrocytes 8,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocyte progenitor cells 12,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 10,,,,0,0,0.0,NA,0,0.0,NA
connective tissue cells 21,,,,0,0,0.0,NA,0,0.0,NA
astrocytes 15,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 16,,,,0,0,0.0,NA,0,0.0,NA
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA
astrocytes microglia 23,161.0,0.304,40.0,0,0,0.0,NA,0,0.0,NA
astrocytes 4,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 0,,,,0,0,0.0,NA,0,0.0,NA
microglia 1,813.0,0.123,58.0,79,3,3.8,2.87 (2.25-3.49),76,96.2,3.11 (2.69-3.53)
oligodendrocytes 3,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 2,,,,0,0,0.0,NA,0,0.0,NA
