tipo_celular,module_size,UBE2A_MM,UBE2A_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,184.0,0.327,94.0,21,13,61.9,1.76 (1.07-2.45),8,38.1,3.30 (2.40-4.20)
T cells 18,518.0,0.147,45.0,131,6,4.58,3.69 (2.50-4.89),125,95.42,3.05 (2.77-3.33)
astrocytes 5,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocyte progenitor cells 7,666.0,0.116,14.0,127,4,3.15,1.94 (NA-NA),123,96.85,3.85 (3.52-4.19)
GABA neurons expressing GLU receptors 22,,,,0,0,0.0,NA,0,0.0,NA
GLU like neurons 17,,,,0,0,0.0,NA,0,0.0,NA
da like neurons 11,,,,0,0,0.0,NA,0,0.0,NA
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA
endothelial cells 9,385.0,0.107,54.0,275,42,15.27,2.18 (1.78-2.58),233,84.73,4.41 (4.14-4.68)
oligodendrocytes 20,,,,0,0,0.0,NA,0,0.0,NA
GABA like neurons 14,,,,0,0,0.0,NA,0,0.0,NA
astrocytes 8,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocyte progenitor cells 12,3303.0,0.035,4.0,276,54,19.57,2.83 (2.47-3.19),222,80.43,3.73 (3.48-3.98)
oligodendrocytes 10,,,,0,0,0.0,NA,0,0.0,NA
connective tissue cells 21,91.0,0.402,94.0,4,0,0.0,NA,4,100.0,0.35 (0.26-0.44)
astrocytes 15,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 16,,,,0,0,0.0,NA,0,0.0,NA
da neurons 6,729.0,0.062,4.0,182,2,1.1,1.57 (1.57-1.57),180,98.9,3.66 (3.41-3.92)
astrocytes microglia 23,109.0,0.353,81.0,0,0,0.0,NA,0,0.0,NA
astrocytes 4,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 0,,,,0,0,0.0,NA,0,0.0,NA
microglia 1,958.0,0.123,67.0,290,20,6.9,2.77 (2.09-3.46),270,93.1,3.87 (3.63-4.10)
oligodendrocytes 3,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 2,,,,0,0,0.0,NA,0,0.0,NA
