tipo_celular,module_size,GDAP2_MM,GDAP2_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,395.0,0.153,46.0,97,1,1.03,2.86 (NA-NA),96,98.97,3.06 (2.66-3.45)
T cells 18,610.0,0.14,40.0,98,7,7.14,0.72 (0.28-1.15),91,92.86,3.33 (3.03-3.63)
astrocytes 5,1656.0,0.132,76.0,136,0,0.0,NA,136,100.0,3.21 (2.94-3.48)
oligodendrocyte progenitor cells 7,4285.0,0.17,94.0,353,10,2.83,1.02 (0.48-1.56),343,97.17,4.00 (3.82-4.18)
GABA neurons expressing GLU receptors 22,703.0,0.242,81.0,23,0,0.0,NA,23,100.0,2.09 (1.38-2.80)
GLU like neurons 17,1316.0,0.021,0.0,101,0,0.0,NA,101,100.0,3.05 (2.70-3.40)
da like neurons 11,200.0,0.273,73.0,8,0,0.0,NA,8,100.0,NA
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA
endothelial cells 9,1653.0,0.154,69.0,297,0,0.0,NA,297,100.0,3.67 (3.47-3.88)
oligodendrocytes 20,295.0,0.028,3.0,28,0,0.0,NA,28,100.0,2.19 (1.73-2.65)
GABA like neurons 14,3052.0,0.153,63.0,125,0,0.0,NA,125,100.0,3.35 (3.03-3.68)
astrocytes 8,354.0,0.034,3.0,8,0,0.0,NA,8,100.0,0.78 (0.08-1.47)
oligodendrocyte progenitor cells 12,3303.0,0.049,14.0,276,2,0.72,1.25 (-0.12-2.62),274,99.28,3.56 (3.35-3.78)
oligodendrocytes 10,2107.0,0.164,56.0,358,8,2.23,0.70 (0.32-1.07),350,97.77,3.96 (3.77-4.14)
connective tissue cells 21,100.0,0.362,86.0,0,0,0.0,NA,0,0.0,NA
astrocytes 15,1768.0,0.096,58.0,105,3,2.86,1.41 (0.56-2.27),102,97.14,3.27 (2.93-3.61)
oligodendrocytes 16,91.0,0.175,32.0,1,0,0.0,NA,1,100.0,7.70 (NA-NA)
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA
astrocytes microglia 23,49.0,0.321,32.0,1,0,0.0,NA,1,100.0,6.09 (NA-NA)
astrocytes 4,1807.0,0.147,56.0,104,4,3.85,1.48 (0.36-2.59),100,96.15,2.92 (2.64-3.21)
oligodendrocytes 0,2078.0,0.107,36.0,238,0,0.0,NA,238,100.0,3.64 (3.42-3.86)
microglia 1,1615.0,0.137,82.0,161,8,4.97,0.70 (0.32-1.07),153,95.03,3.44 (3.18-3.70)
oligodendrocytes 3,681.0,0.069,24.0,87,4,4.6,0.89 (0.20-1.58),83,95.4,2.67 (2.40-2.94)
oligodendrocytes 2,1630.0,0.122,16.0,154,0,0.0,NA,154,100.0,3.24 (2.98-3.51)
