tipo_celular,module_size,SPOCK3_MM,SPOCK3_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,,,,0,0,0.0,NA,0,0.0,NA
T cells 18,,,,0,0,0.0,NA,0,0.0,NA
astrocytes 5,165.0,0.632,98.0,51,0,0.0,NA,51,100.0,5.35 (4.68-6.01)
oligodendrocyte progenitor cells 7,229.0,0.161,34.0,45,3,6.67,4.91 (4.69-5.14),42,93.33,5.01 (4.34-5.69)
GABA neurons expressing GLU receptors 22,567.0,0.216,62.0,16,0,0.0,NA,16,100.0,1.97 (1.30-2.64)
GLU like neurons 17,637.0,0.317,83.0,91,3,3.3,2.10 (0.16-4.04),88,96.7,4.65 (4.12-5.18)
da like neurons 11,87.0,0.447,95.0,3,0,0.0,NA,3,100.0,NA
GABA neurons expressing GABA receptors 13,288.0,0.127,23.0,93,7,7.53,2.31 (1.18-3.43),86,92.47,5.46 (4.98-5.94)
endothelial cells 9,450.0,0.336,73.0,74,0,0.0,NA,74,100.0,5.46 (4.91-6.02)
oligodendrocytes 20,676.0,0.127,36.0,110,7,6.36,3.22 (1.61-4.83),103,93.64,5.17 (4.72-5.61)
GABA like neurons 14,1300.0,0.093,8.0,306,12,3.92,2.89 (1.82-3.96),294,96.08,5.23 (4.97-5.49)
astrocytes 8,771.0,0.802,100.0,48,1,2.08,0.79 (NA-NA),47,97.92,4.53 (3.78-5.27)
oligodendrocyte progenitor cells 12,708.0,0.319,89.0,25,1,4.0,0.21 (NA-NA),24,96.0,3.00 (2.02-3.99)
oligodendrocytes 10,204.0,0.505,77.0,92,1,1.09,2.43 (NA-NA),91,98.91,5.76 (5.29-6.23)
connective tissue cells 21,250.0,0.752,95.0,117,4,3.42,3.36 (2.32-4.40),113,96.58,5.47 (5.07-5.87)
astrocytes 15,458.0,0.558,100.0,36,0,0.0,NA,36,100.0,3.77 (2.68-4.85)
oligodendrocytes 16,81.0,0.109,13.0,1,0,0.0,NA,1,100.0,NA
da neurons 6,518.0,0.14,77.0,122,3,2.46,1.89 (0.02-3.76),119,97.54,4.06 (3.66-4.45)
astrocytes microglia 23,54.0,0.628,97.0,29,0,0.0,NA,29,100.0,6.71 (6.06-7.37)
astrocytes 4,102.0,0.524,93.0,42,0,0.0,NA,42,100.0,5.68 (4.96-6.40)
oligodendrocytes 0,117.0,0.24,91.0,4,0,0.0,NA,4,100.0,5.93 (4.98-6.88)
microglia 1,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 3,1003.0,0.177,91.0,111,0,0.0,NA,111,100.0,3.30 (2.96-3.64)
oligodendrocytes 2,348.0,0.359,90.0,114,8,7.02,4.56 (3.85-5.28),106,92.98,5.17 (4.73-5.62)
