tipo_celular,module_size,RAPH1_MM,RAPH1_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,500.0,0.122,22.0,32,0,0.0,NA,32,100.0,3.72 (2.95-4.50)
T cells 18,,,,0,0,0.0,NA,0,0.0,NA
astrocytes 5,1656.0,0.15,94.0,136,0,0.0,NA,136,100.0,3.21 (2.94-3.48)
oligodendrocyte progenitor cells 7,628.0,0.114,14.0,164,1,0.61,1.29 (NA-NA),163,99.39,4.11 (3.78-4.43)
GABA neurons expressing GLU receptors 22,1069.0,0.244,92.0,37,0,0.0,NA,37,100.0,2.16 (1.70-2.61)
GLU like neurons 17,1316.0,0.117,45.0,101,0,0.0,NA,101,100.0,3.05 (2.70-3.40)
da like neurons 11,132.0,0.321,69.0,12,0,0.0,NA,12,100.0,4.39 (3.57-5.22)
GABA neurons expressing GABA receptors 13,200.0,0.113,16.0,34,1,2.94,3.65 (NA-NA),33,97.06,3.90 (2.98-4.81)
endothelial cells 9,586.0,0.252,59.0,62,0,0.0,NA,62,100.0,4.05 (3.60-4.49)
oligodendrocytes 20,322.0,0.194,74.0,10,0,0.0,NA,10,100.0,1.41 (0.38-2.43)
GABA like neurons 14,3052.0,0.16,68.0,125,0,0.0,NA,125,100.0,3.35 (3.03-3.68)
astrocytes 8,603.0,0.069,44.0,89,0,0.0,NA,89,100.0,2.76 (2.41-3.11)
oligodendrocyte progenitor cells 12,3303.0,0.047,12.0,276,8,2.9,2.14 (1.48-2.81),268,97.1,3.60 (3.38-3.82)
oligodendrocytes 10,806.0,0.061,11.0,261,1,0.38,1.29 (NA-NA),260,99.62,4.38 (4.14-4.62)
connective tissue cells 21,114.0,0.366,86.0,19,0,0.0,NA,19,100.0,4.90 (4.18-5.61)
astrocytes 15,458.0,0.078,40.0,36,0,0.0,NA,36,100.0,3.77 (2.68-4.85)
oligodendrocytes 16,121.0,0.36,97.0,8,0,0.0,NA,8,100.0,0.99 (0.10-1.89)
da neurons 6,307.0,0.156,75.0,95,0,0.0,NA,95,100.0,4.85 (4.41-5.28)
astrocytes microglia 23,255.0,0.351,97.0,57,0,0.0,NA,57,100.0,2.65 (2.29-3.01)
astrocytes 4,1807.0,0.169,89.0,104,10,9.62,1.97 (1.28-2.65),94,90.38,2.95 (2.66-3.25)
oligodendrocytes 0,86.0,0.126,26.0,2,0,0.0,NA,2,100.0,NA
microglia 1,480.0,0.148,28.0,163,0,0.0,NA,163,100.0,3.71 (3.44-3.97)
oligodendrocytes 3,457.0,0.114,49.0,345,1,0.29,1.29 (NA-NA),344,99.71,4.29 (4.08-4.49)
oligodendrocytes 2,526.0,0.109,6.0,213,0,0.0,NA,213,100.0,3.98 (3.70-4.25)
