tipo_celular,module_size,STXBP5L_MM,STXBP5L_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,,,,0,0,0.0,NA,0,0.0,NA
T cells 18,,,,0,0,0.0,NA,0,0.0,NA
astrocytes 5,499.0,0.532,100.0,32,0,0.0,NA,32,100.0,5.02 (4.53-5.52)
oligodendrocyte progenitor cells 7,436.0,0.114,40.0,219,2,0.91,4.14 (NA-NA),217,99.09,5.22 (4.93-5.51)
GABA neurons expressing GLU receptors 22,459.0,0.172,57.0,165,6,3.64,1.73 (1.00-2.46),159,96.36,5.25 (4.92-5.58)
GLU like neurons 17,795.0,0.283,92.0,80,2,2.5,2.53 (2.34-2.73),78,97.5,5.80 (5.40-6.19)
da like neurons 11,289.0,0.345,96.0,6,0,0.0,NA,6,100.0,2.89 (2.54-3.24)
GABA neurons expressing GABA receptors 13,80.0,0.153,37.0,0,0,0.0,NA,0,0.0,NA
endothelial cells 9,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 20,,,,0,0,0.0,NA,0,0.0,NA
GABA like neurons 14,1300.0,0.306,89.0,306,21,6.86,2.64 (1.97-3.31),285,93.14,5.36 (5.10-5.61)
astrocytes 8,354.0,0.204,88.0,8,0,0.0,NA,8,100.0,0.78 (0.08-1.47)
oligodendrocyte progenitor cells 12,411.0,0.43,93.0,103,0,0.0,NA,103,100.0,5.55 (5.16-5.93)
oligodendrocytes 10,,,,0,0,0.0,NA,0,0.0,NA
connective tissue cells 21,,,,0,0,0.0,NA,0,0.0,NA
astrocytes 15,377.0,0.203,81.0,14,0,0.0,NA,14,100.0,2.14 (0.89-3.38)
oligodendrocytes 16,,,,0,0,0.0,NA,0,0.0,NA
da neurons 6,553.0,0.121,44.0,124,1,0.81,3.94 (NA-NA),123,99.19,4.19 (3.79-4.58)
astrocytes microglia 23,89.0,0.459,93.0,0,0,0.0,NA,0,0.0,NA
astrocytes 4,161.0,0.238,74.0,45,0,0.0,NA,45,100.0,5.28 (4.66-5.91)
oligodendrocytes 0,,,,0,0,0.0,NA,0,0.0,NA
microglia 1,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 3,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 2,,,,0,0,0.0,NA,0,0.0,NA
