tipo_celular,module_size,LRCH1_MM,LRCH1_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,235.0,0.27,62.0,140,8,5.71,4.97 (3.73-6.21),132,94.29,4.53 (4.24-4.82)
T cells 18,477.0,0.164,52.0,43,0,0.0,NA,43,100.0,2.03 (1.52-2.53)
astrocytes 5,322.0,0.122,22.0,58,8,13.79,4.71 (3.53-5.88),50,86.21,4.07 (3.62-4.52)
oligodendrocyte progenitor cells 7,4285.0,0.171,94.0,353,7,1.98,1.31 (0.51-2.11),346,98.02,3.96 (3.77-4.14)
GABA neurons expressing GLU receptors 22,703.0,0.154,31.0,23,0,0.0,NA,23,100.0,2.09 (1.38-2.80)
GLU like neurons 17,300.0,0.18,41.0,16,0,0.0,NA,16,100.0,2.08 (1.23-2.93)
da like neurons 11,101.0,0.104,20.0,0,0,0.0,NA,0,0.0,NA
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA
endothelial cells 9,412.0,0.348,95.0,141,4,2.84,1.80 (0.03-3.58),137,97.16,3.00 (2.76-3.24)
oligodendrocytes 20,,,,0,0,0.0,NA,0,0.0,NA
GABA like neurons 14,1300.0,0.234,62.0,306,13,4.25,3.56 (2.23-4.89),293,95.75,5.20 (4.93-5.46)
astrocytes 8,218.0,0.171,72.0,9,0,0.0,NA,9,100.0,2.12 (1.21-3.03)
oligodendrocyte progenitor cells 12,3303.0,0.132,95.0,276,4,1.45,1.10 (0.52-1.69),272,98.55,3.59 (3.37-3.81)
oligodendrocytes 10,,,,0,0,0.0,NA,0,0.0,NA
connective tissue cells 21,85.0,0.293,43.0,3,0,0.0,NA,3,100.0,1.74 (1.73-1.75)
astrocytes 15,1768.0,0.055,18.0,105,5,4.76,1.60 (0.58-2.61),100,95.24,3.30 (2.96-3.64)
oligodendrocytes 16,,,,0,0,0.0,NA,0,0.0,NA
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA
astrocytes microglia 23,229.0,0.279,45.0,99,8,8.08,5.53 (4.70-6.35),91,91.92,4.17 (3.83-4.52)
astrocytes 4,201.0,0.123,11.0,18,0,0.0,NA,18,100.0,4.54 (3.65-5.42)
oligodendrocytes 0,,,,0,0,0.0,NA,0,0.0,NA
microglia 1,315.0,0.203,67.0,144,2,1.39,3.20 (0.10-6.30),142,98.61,4.48 (4.17-4.79)
oligodendrocytes 3,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 2,,,,0,0,0.0,NA,0,0.0,NA
