tipo_celular,module_size,GNB5_MM,GNB5_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,,,,0,0,0.0,NA,0,0.0,NA
T cells 18,518.0,0.137,36.0,131,0,0.0,NA,131,100.0,3.07 (2.80-3.35)
astrocytes 5,423.0,0.141,43.0,80,2,2.5,2.76 (-0.61-6.12),78,97.5,3.42 (2.94-3.90)
oligodendrocyte progenitor cells 7,666.0,0.153,39.0,127,13,10.24,2.48 (1.69-3.28),114,89.76,4.05 (3.70-4.40)
GABA neurons expressing GLU receptors 22,1069.0,0.178,60.0,37,1,2.7,2.74 (NA-NA),36,97.3,2.14 (1.67-2.60)
GLU like neurons 17,1316.0,0.169,83.0,101,1,0.99,2.53 (NA-NA),100,99.01,3.06 (2.70-3.41)
da like neurons 11,204.0,0.183,49.0,2,0,0.0,NA,2,100.0,1.89 (-1.31-5.09)
GABA neurons expressing GABA receptors 13,238.0,0.156,46.0,36,1,2.78,5.16 (NA-NA),35,97.22,3.83 (3.30-4.37)
endothelial cells 9,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 20,,,,0,0,0.0,NA,0,0.0,NA
GABA like neurons 14,2090.0,0.06,2.0,74,1,1.35,2.53 (NA-NA),73,98.65,2.95 (2.57-3.33)
astrocytes 8,520.0,0.095,39.0,288,13,4.51,2.13 (1.31-2.95),275,95.49,4.26 (4.06-4.46)
oligodendrocyte progenitor cells 12,3303.0,0.105,79.0,276,12,4.35,1.93 (1.33-2.53),264,95.65,3.64 (3.42-3.86)
oligodendrocytes 10,,,,0,0,0.0,NA,0,0.0,NA
connective tissue cells 21,95.0,0.309,65.0,4,1,25.0,5.16 (NA-NA),3,75.0,2.91 (2.68-3.14)
astrocytes 15,1401.0,0.06,26.0,96,1,1.04,2.00 (NA-NA),95,98.96,3.63 (3.18-4.09)
oligodendrocytes 16,,,,0,0,0.0,NA,0,0.0,NA
da neurons 6,448.0,0.08,23.0,43,1,2.33,3.78 (NA-NA),42,97.67,3.27 (2.73-3.80)
astrocytes microglia 23,67.0,0.343,67.0,0,0,0.0,NA,0,0.0,NA
astrocytes 4,514.0,0.127,14.0,95,7,7.37,2.90 (1.23-4.58),88,92.63,3.42 (2.99-3.85)
oligodendrocytes 0,,,,0,0,0.0,NA,0,0.0,NA
microglia 1,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 3,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 2,,,,0,0,0.0,NA,0,0.0,NA
