tipo_celular,module_size,DEF8_MM,DEF8_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,,,,0,0,0.0,NA,0,0.0,NA
T cells 18,,,,0,0,0.0,NA,0,0.0,NA
astrocytes 5,1656.0,0.093,17.0,136,0,0.0,NA,136,100.0,3.21 (2.94-3.48)
oligodendrocyte progenitor cells 7,4285.0,0.103,11.0,353,9,2.55,2.00 (1.22-2.77),344,97.45,3.95 (3.77-4.14)
GABA neurons expressing GLU receptors 22,1069.0,0.223,86.0,37,0,0.0,NA,37,100.0,2.16 (1.70-2.61)
GLU like neurons 17,1247.0,0.101,26.0,51,1,1.96,2.00 (NA-NA),50,98.04,3.66 (3.08-4.25)
da like neurons 11,215.0,0.147,33.0,9,0,0.0,NA,9,100.0,0.85 (0.17-1.52)
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA
endothelial cells 9,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 20,938.0,0.155,64.0,169,4,2.37,1.33 (0.15-2.51),165,97.63,3.54 (3.33-3.76)
GABA like neurons 14,2402.0,0.193,39.0,455,4,0.88,2.58 (1.15-4.02),451,99.12,4.36 (4.18-4.55)
astrocytes 8,603.0,0.097,64.0,89,0,0.0,NA,89,100.0,2.76 (2.41-3.11)
oligodendrocyte progenitor cells 12,708.0,0.071,29.0,32,2,6.25,1.74 (1.73-1.75),30,93.75,3.36 (2.51-4.22)
oligodendrocytes 10,806.0,0.112,31.0,261,8,3.07,4.30 (3.21-5.39),253,96.93,4.37 (4.12-4.62)
connective tissue cells 21,,,,0,0,0.0,NA,0,0.0,NA
astrocytes 15,1401.0,0.048,16.0,96,11,11.46,3.94 (2.96-4.93),85,88.54,3.56 (3.06-4.06)
oligodendrocytes 16,122.0,0.231,71.0,11,0,0.0,NA,11,100.0,3.57 (3.08-4.06)
da neurons 6,729.0,0.1,23.0,182,2,1.1,2.87 (2.83-2.90),180,98.9,3.65 (3.39-3.90)
astrocytes microglia 23,110.0,0.297,34.0,0,0,0.0,NA,0,0.0,NA
astrocytes 4,1807.0,0.155,70.0,104,3,2.88,0.90 (-0.14-1.94),101,97.12,2.93 (2.65-3.20)
oligodendrocytes 0,2078.0,0.074,2.0,238,3,1.26,2.08 (-0.09-4.26),235,98.74,3.66 (3.44-3.88)
microglia 1,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 3,303.0,0.066,12.0,154,0,0.0,NA,154,100.0,3.62 (3.30-3.94)
oligodendrocytes 2,1630.0,0.157,80.0,154,0,0.0,NA,154,100.0,3.24 (2.98-3.51)
