tipo_celular,module_size,SETDB2_MM,SETDB2_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,401.0,0.235,84.0,19,0,0.0,NA,19,100.0,2.52 (1.81-3.24)
T cells 18,610.0,0.146,45.0,98,29,29.59,1.76 (1.37-2.15),69,70.41,3.79 (3.47-4.10)
astrocytes 5,1656.0,0.144,90.0,136,4,2.94,1.58 (1.21-1.95),132,97.06,3.26 (2.99-3.54)
oligodendrocyte progenitor cells 7,4285.0,0.144,63.0,353,54,15.3,2.15 (1.85-2.44),299,84.7,4.32 (4.14-4.50)
GABA neurons expressing GLU receptors 22,1069.0,0.15,40.0,37,5,13.51,2.19 (1.75-2.64),32,86.49,2.15 (1.61-2.69)
GLU like neurons 17,1247.0,0.074,11.0,51,2,3.92,4.07 (NA-NA),49,96.08,3.61 (3.02-4.21)
da like neurons 11,408.0,0.055,2.0,25,8,32.0,1.42 (0.83-2.00),17,68.0,6.74 (5.82-7.67)
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA
endothelial cells 9,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 20,322.0,0.59,100.0,10,0,0.0,NA,10,100.0,1.41 (0.38-2.43)
GABA like neurons 14,3052.0,0.153,62.0,125,0,0.0,NA,125,100.0,3.35 (3.03-3.68)
astrocytes 8,218.0,0.099,51.0,9,0,0.0,NA,9,100.0,2.12 (1.21-3.03)
oligodendrocyte progenitor cells 12,708.0,0.046,8.0,25,1,4.0,0.21 (NA-NA),24,96.0,3.00 (2.02-3.99)
oligodendrocytes 10,2107.0,0.194,67.0,358,71,19.83,2.26 (1.95-2.57),287,80.17,4.35 (4.16-4.54)
connective tissue cells 21,114.0,0.316,71.0,11,2,18.18,0.79 (0.03-1.55),9,81.82,1.81 (0.52-3.10)
astrocytes 15,338.0,0.255,95.0,14,0,0.0,NA,14,100.0,1.77 (1.03-2.51)
oligodendrocytes 16,90.0,0.109,5.0,0,0,0.0,NA,0,0.0,NA
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA
astrocytes microglia 23,107.0,0.31,50.0,1,0,0.0,NA,1,100.0,3.12 (NA-NA)
astrocytes 4,1807.0,0.149,58.0,104,24,23.08,1.77 (1.42-2.13),80,76.92,3.22 (2.91-3.54)
oligodendrocytes 0,2078.0,0.115,52.0,238,15,6.3,2.71 (2.16-3.26),223,93.7,3.71 (3.48-3.94)
microglia 1,1615.0,0.087,17.0,161,47,29.19,2.07 (1.74-2.40),114,70.81,3.94 (3.64-4.23)
oligodendrocytes 3,854.0,0.071,28.0,76,1,1.32,0.21 (NA-NA),75,98.68,2.82 (2.49-3.14)
oligodendrocytes 2,1630.0,0.129,25.0,154,1,0.65,NA,153,99.35,3.24 (2.98-3.51)
