tipo_celular,module_size,RIN2_MM,RIN2_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,218.0,0.142,10.0,5,0,0.0,NA,5,100.0,2.33 (0.29-4.37)
T cells 18,,,,0,0,0.0,NA,0,0.0,NA
astrocytes 5,932.0,0.138,84.0,80,0,0.0,NA,80,100.0,3.67 (3.26-4.08)
oligodendrocyte progenitor cells 7,436.0,0.205,85.0,219,11,5.02,3.57 (2.95-4.20),208,94.98,5.33 (5.04-5.63)
GABA neurons expressing GLU receptors 22,,,,0,0,0.0,NA,0,0.0,NA
GLU like neurons 17,637.0,0.164,53.0,91,16,17.58,2.33 (1.39-3.27),75,82.42,5.23 (4.74-5.72)
da like neurons 11,,,,0,0,0.0,NA,0,0.0,NA
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA
endothelial cells 9,658.0,0.417,95.0,120,34,28.33,4.82 (4.21-5.44),86,71.67,4.51 (4.15-4.88)
oligodendrocytes 20,938.0,0.084,29.0,169,6,3.55,2.06 (0.71-3.41),163,96.45,3.53 (3.32-3.75)
GABA like neurons 14,3052.0,0.117,32.0,125,1,0.8,NA,124,99.2,3.35 (3.03-3.68)
astrocytes 8,1266.0,0.17,92.0,66,12,18.18,2.10 (0.99-3.20),54,81.82,3.53 (3.12-3.93)
oligodendrocyte progenitor cells 12,254.0,0.236,37.0,37,7,18.92,3.08 (2.53-3.62),30,81.08,4.91 (4.27-5.56)
oligodendrocytes 10,1277.0,0.209,93.0,27,0,0.0,NA,27,100.0,5.41 (4.54-6.27)
connective tissue cells 21,100.0,0.219,28.0,8,1,12.5,NA,7,87.5,1.58 (-0.37-3.52)
astrocytes 15,1401.0,0.193,96.0,96,4,4.17,1.93 (1.64-2.21),92,95.83,3.66 (3.20-4.11)
oligodendrocytes 16,199.0,0.234,88.0,3,0,0.0,NA,3,100.0,5.28 (1.90-8.66)
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA
astrocytes microglia 23,229.0,0.221,23.0,99,20,20.2,4.08 (3.61-4.54),79,79.8,4.35 (3.95-4.76)
astrocytes 4,201.0,0.143,25.0,18,7,38.89,4.95 (3.67-6.24),11,61.11,4.35 (3.18-5.52)
oligodendrocytes 0,187.0,0.184,58.0,14,3,21.43,7.18 (7.18-7.18),11,78.57,5.23 (4.68-5.78)
microglia 1,1615.0,0.126,72.0,161,15,9.32,1.92 (0.93-2.91),146,90.68,3.43 (3.17-3.70)
oligodendrocytes 3,854.0,0.159,94.0,76,1,1.32,0.21 (NA-NA),75,98.68,2.82 (2.49-3.14)
oligodendrocytes 2,804.0,0.172,71.0,84,5,5.95,0.58 (-0.15-1.31),79,94.05,2.75 (2.42-3.09)
