tipo_celular,module_size,SRSF6_MM,SRSF6_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,395.0,0.091,9.0,97,1,1.03,2.27 (NA-NA),96,98.97,3.07 (2.67-3.46)
T cells 18,610.0,0.205,82.0,98,28,28.57,1.64 (1.27-2.01),70,71.43,3.74 (3.43-4.05)
astrocytes 5,1656.0,0.149,94.0,136,9,6.62,2.12 (1.46-2.78),127,93.38,3.30 (3.01-3.58)
oligodendrocyte progenitor cells 7,628.0,0.127,22.0,164,4,2.44,4.37 (NA-NA),160,97.56,4.08 (3.75-4.41)
GABA neurons expressing GLU receptors 22,848.0,0.176,35.0,262,11,4.2,2.12 (1.31-2.93),251,95.8,4.29 (4.04-4.53)
GLU like neurons 17,,,,0,0,0.0,NA,0,0.0,NA
da like neurons 11,408.0,0.081,12.0,25,9,36.0,1.82 (0.87-2.77),16,64.0,6.90 (5.94-7.86)
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA
endothelial cells 9,412.0,0.093,14.0,141,3,2.13,0.90 (0.75-1.04),138,97.87,3.01 (2.77-3.25)
oligodendrocytes 20,358.0,0.359,95.0,31,0,0.0,NA,31,100.0,2.36 (1.93-2.79)
GABA like neurons 14,3052.0,0.15,60.0,125,0,0.0,NA,125,100.0,3.35 (3.03-3.68)
astrocytes 8,603.0,0.056,31.0,89,12,13.48,2.05 (1.32-2.78),77,86.52,2.92 (2.53-3.31)
oligodendrocyte progenitor cells 12,3303.0,0.044,10.0,276,39,14.13,1.99 (1.74-2.24),237,85.87,3.88 (3.65-4.11)
oligodendrocytes 10,483.0,0.043,7.0,129,5,3.88,4.79 (3.39-6.19),124,96.12,3.36 (2.96-3.76)
connective tissue cells 21,86.0,0.298,68.0,7,2,28.57,3.30 (2.61-3.99),5,71.43,3.16 (2.11-4.22)
astrocytes 15,1768.0,0.135,86.0,105,31,29.52,2.29 (1.78-2.81),74,70.48,3.60 (3.21-3.99)
oligodendrocytes 16,151.0,0.244,80.0,7,0,0.0,NA,7,100.0,1.31 (0.28-2.35)
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA
astrocytes microglia 23,116.0,0.308,39.0,2,0,0.0,NA,2,100.0,2.06 (0.32-3.80)
astrocytes 4,787.0,0.182,95.0,65,1,1.54,2.85 (NA-NA),64,98.46,2.96 (2.56-3.37)
oligodendrocytes 0,2078.0,0.132,85.0,238,9,3.78,2.71 (1.74-3.69),229,96.22,3.68 (3.45-3.90)
microglia 1,1615.0,0.084,14.0,161,42,26.09,1.85 (1.53-2.18),119,73.91,3.89 (3.61-4.17)
oligodendrocytes 3,854.0,0.06,15.0,76,3,3.95,1.00 (0.20-1.79),73,96.05,2.86 (2.53-3.19)
oligodendrocytes 2,921.0,0.127,33.0,200,20,10.0,3.78 (3.10-4.46),180,90.0,3.60 (3.32-3.89)
