tipo_celular,module_size,GLCE_MM,GLCE_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,500.0,0.09,7.0,32,1,3.12,2.24 (NA-NA),31,96.88,3.78 (2.98-4.58)
T cells 18,,,,0,0,0.0,NA,0,0.0,NA
astrocytes 5,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocyte progenitor cells 7,666.0,0.205,74.0,127,0,0.0,NA,127,100.0,3.83 (3.49-4.17)
GABA neurons expressing GLU receptors 22,567.0,0.213,60.0,16,1,6.25,1.95 (NA-NA),15,93.75,1.97 (1.25-2.70)
GLU like neurons 17,1316.0,0.105,34.0,101,1,0.99,2.53 (NA-NA),100,99.01,3.06 (2.70-3.41)
da like neurons 11,204.0,0.199,57.0,2,0,0.0,NA,2,100.0,1.89 (-1.31-5.09)
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA
endothelial cells 9,658.0,0.128,22.0,120,1,0.83,3.31 (NA-NA),119,99.17,4.62 (4.30-4.94)
oligodendrocytes 20,233.0,0.161,32.0,5,0,0.0,NA,5,100.0,0.63 (-0.10-1.37)
GABA like neurons 14,3052.0,0.171,77.0,125,0,0.0,NA,125,100.0,3.35 (3.03-3.68)
astrocytes 8,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocyte progenitor cells 12,708.0,0.139,62.0,25,1,4.0,0.21 (NA-NA),24,96.0,3.00 (2.02-3.99)
oligodendrocytes 10,1277.0,0.119,57.0,27,0,0.0,NA,27,100.0,5.41 (4.54-6.27)
connective tissue cells 21,73.0,0.264,45.0,0,0,0.0,NA,0,0.0,NA
astrocytes 15,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 16,151.0,0.156,23.0,7,0,0.0,NA,7,100.0,1.31 (0.28-2.35)
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA
astrocytes microglia 23,47.0,0.277,18.0,0,0,0.0,NA,0,0.0,NA
astrocytes 4,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 0,117.0,0.162,56.0,4,0,0.0,NA,4,100.0,5.93 (4.98-6.88)
microglia 1,1615.0,0.142,85.0,161,16,9.94,1.07 (0.64-1.50),145,90.06,3.58 (3.32-3.83)
oligodendrocytes 3,639.0,0.084,40.0,15,5,33.33,0.91 (0.08-1.73),10,66.67,4.82 (3.51-6.13)
oligodendrocytes 2,347.0,0.203,55.0,15,0,0.0,NA,15,100.0,4.87 (4.10-5.63)
