tipo_celular,module_size,BSDC1_MM,BSDC1_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,206,0.244,72.0,10,0,0.0,NA,10,100.0,1.83 (0.82-2.85)
T cells 18,624,0.057,1.0,142,0,0.0,NA,142,100.0,3.21 (2.94-3.48)
astrocytes 5,932,0.129,77.0,80,0,0.0,NA,80,100.0,3.67 (3.26-4.08)
oligodendrocyte progenitor cells 7,4285,0.1,9.0,353,4,1.13,0.93 (0.21-1.65),349,98.87,3.93 (3.75-4.12)
GABA neurons expressing GLU receptors 22,1069,0.286,99.0,37,0,0.0,NA,37,100.0,2.16 (1.70-2.61)
GLU like neurons 17,1316,0.099,28.0,101,0,0.0,NA,101,100.0,3.05 (2.70-3.40)
da like neurons 11,200,0.102,12.0,8,0,0.0,NA,8,100.0,NA
GABA neurons expressing GABA receptors 13,101,0.162,52.0,3,0,0.0,NA,3,100.0,1.59 (0.34-2.85)
endothelial cells 9,450,0.052,2.0,74,0,0.0,NA,74,100.0,5.46 (4.91-6.02)
oligodendrocytes 20,322,0.142,59.0,10,0,0.0,NA,10,100.0,1.41 (0.38-2.43)
GABA like neurons 14,2090,0.1,13.0,74,0,0.0,NA,74,100.0,2.94 (2.57-3.32)
astrocytes 8,1266,0.061,27.0,66,1,1.52,0.95 (NA-NA),65,98.48,3.27 (2.85-3.69)
oligodendrocyte progenitor cells 12,708,0.044,8.0,25,0,0.0,NA,25,100.0,2.87 (1.90-3.84)
oligodendrocytes 10,2107,0.037,3.0,358,4,1.12,0.93 (0.21-1.65),354,98.88,3.90 (3.71-4.10)
connective tissue cells 21,104,0.286,55.0,3,0,0.0,NA,3,100.0,1.89 (-1.31-5.09)
astrocytes 15,1401,0.079,44.0,96,0,0.0,NA,96,100.0,3.61 (3.16-4.06)
oligodendrocytes 16,91,0.191,39.0,5,0,0.0,NA,5,100.0,1.75 (0.02-3.49)
da neurons 6,307,0.101,31.0,95,0,0.0,NA,95,100.0,4.85 (4.41-5.28)
astrocytes microglia 23,131,0.313,61.0,0,0,0.0,NA,0,0.0,NA
astrocytes 4,721,0.141,30.0,61,0,0.0,NA,61,100.0,2.97 (2.55-3.38)
oligodendrocytes 0,2078,0.114,49.0,238,0,0.0,NA,238,100.0,3.64 (3.42-3.86)
microglia 1,1615,0.093,26.0,161,4,2.48,0.93 (0.21-1.65),157,97.52,3.35 (3.08-3.61)
oligodendrocytes 3,681,0.068,24.0,87,2,2.3,1.25 (-0.12-2.62),85,97.7,2.62 (2.34-2.89)
oligodendrocytes 2,921,0.145,64.0,200,0,0.0,NA,200,100.0,3.62 (3.36-3.89)
