tipo_celular,module_size,TCAIM_MM,TCAIM_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,218.0,0.188,34.0,5,0,0.0,NA,5,100.0,2.33 (0.29-4.37)
T cells 18,388.0,0.107,23.0,84,0,0.0,NA,84,100.0,2.97 (2.65-3.30)
astrocytes 5,1656.0,0.091,15.0,136,0,0.0,NA,136,100.0,3.21 (2.94-3.48)
oligodendrocyte progenitor cells 7,4285.0,0.164,90.0,353,7,1.98,0.70 (0.30-1.10),346,98.02,3.97 (3.79-4.15)
GABA neurons expressing GLU receptors 22,1069.0,0.202,75.0,37,0,0.0,NA,37,100.0,2.16 (1.70-2.61)
GLU like neurons 17,300.0,0.169,31.0,16,0,0.0,NA,16,100.0,2.08 (1.23-2.93)
da like neurons 11,289.0,0.124,23.0,6,0,0.0,NA,6,100.0,2.89 (2.54-3.24)
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA
endothelial cells 9,1653.0,0.158,73.0,297,0,0.0,NA,297,100.0,3.67 (3.47-3.88)
oligodendrocytes 20,330.0,0.181,54.0,36,0,0.0,NA,36,100.0,1.92 (1.57-2.27)
GABA like neurons 14,3052.0,0.2,92.0,125,0,0.0,NA,125,100.0,3.35 (3.03-3.68)
astrocytes 8,354.0,0.163,73.0,8,0,0.0,NA,8,100.0,0.78 (0.08-1.47)
oligodendrocyte progenitor cells 12,708.0,0.079,32.0,25,0,0.0,NA,25,100.0,2.87 (1.90-3.84)
oligodendrocytes 10,2107.0,0.079,17.0,358,6,1.68,0.51 (0.32-0.70),352,98.32,3.94 (3.75-4.12)
connective tissue cells 21,136.0,0.194,6.0,3,0,0.0,NA,3,100.0,0.26 (NA-NA)
astrocytes 15,458.0,0.098,53.0,36,0,0.0,NA,36,100.0,3.77 (2.68-4.85)
oligodendrocytes 16,65.0,0.294,90.0,0,0,0.0,NA,0,0.0,NA
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA
astrocytes microglia 23,161.0,0.198,2.0,0,0,0.0,NA,0,0.0,NA
astrocytes 4,721.0,0.148,43.0,61,0,0.0,NA,61,100.0,2.97 (2.55-3.38)
oligodendrocytes 0,613.0,0.13,38.0,127,0,0.0,NA,127,100.0,3.05 (2.64-3.46)
microglia 1,1615.0,0.093,26.0,161,7,4.35,0.70 (0.30-1.10),154,95.65,3.42 (3.16-3.68)
oligodendrocytes 3,681.0,0.114,66.0,87,2,2.3,0.53 (0.51-0.56),85,97.7,2.64 (2.37-2.90)
oligodendrocytes 2,921.0,0.139,53.0,200,0,0.0,NA,200,100.0,3.62 (3.36-3.89)
