tipo_celular,module_size,BACH2_MM,BACH2_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,,,,0,0,0.0,NA,0,0.0,NA
T cells 18,610.0,0.331,100.0,98,31,31.63,1.68 (1.34-2.02),67,68.37,3.90 (3.61-4.20)
astrocytes 5,423.0,0.219,81.0,80,1,1.25,1.04 (NA-NA),79,98.75,3.44 (2.96-3.91)
oligodendrocyte progenitor cells 7,436.0,0.14,58.0,219,0,0.0,NA,219,100.0,5.21 (4.92-5.50)
GABA neurons expressing GLU receptors 22,459.0,0.236,77.0,165,3,1.82,0.90 (0.75-1.04),162,98.18,5.18 (4.85-5.51)
GLU like neurons 17,489.0,0.113,32.0,42,0,0.0,NA,42,100.0,5.99 (5.44-6.55)
da like neurons 11,77.0,0.436,83.0,3,0,0.0,NA,3,100.0,0.40 (0.24-0.56)
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA
endothelial cells 9,450.0,0.158,33.0,74,0,0.0,NA,74,100.0,5.46 (4.91-6.02)
oligodendrocytes 20,676.0,0.511,79.0,110,3,2.73,0.90 (0.75-1.04),107,97.27,5.16 (4.73-5.58)
GABA like neurons 14,3052.0,0.235,99.0,125,3,2.4,4.26 (3.75-4.77),122,97.6,3.32 (2.99-3.66)
astrocytes 8,771.0,0.218,69.0,48,1,2.08,0.79 (NA-NA),47,97.92,4.53 (3.78-5.27)
oligodendrocyte progenitor cells 12,254.0,0.38,78.0,37,1,2.7,2.31 (NA-NA),36,97.3,4.57 (3.99-5.15)
oligodendrocytes 10,130.0,0.623,96.0,0,0,0.0,NA,0,0.0,NA
connective tissue cells 21,104.0,0.257,33.0,0,0,0.0,NA,0,0.0,NA
astrocytes 15,1401.0,0.133,83.0,96,5,5.21,2.13 (1.36-2.91),91,94.79,3.71 (3.24-4.18)
oligodendrocytes 16,153.0,0.272,25.0,14,0,0.0,NA,14,100.0,4.67 (3.94-5.40)
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA
astrocytes microglia 23,327.0,0.311,43.0,120,17,14.17,1.74 (1.27-2.22),103,85.83,4.00 (3.71-4.29)
astrocytes 4,514.0,0.187,52.0,95,4,4.21,1.14 (0.66-1.61),91,95.79,3.50 (3.07-3.92)
oligodendrocytes 0,187.0,0.122,19.0,14,0,0.0,NA,14,100.0,5.53 (4.92-6.14)
microglia 1,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 3,44.0,0.299,89.0,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 2,348.0,0.165,34.0,114,0,0.0,NA,114,100.0,5.11 (4.70-5.52)
