tipo_celular,module_size,SLC3A2_MM,SLC3A2_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,159,0.268,80.0,18,0,0.0,NA,18,100.0,2.04 (1.57-2.51)
T cells 18,506,0.137,29.0,225,17,7.56,3.11 (2.10-4.13),208,92.44,3.65 (3.39-3.91)
astrocytes 5,328,0.226,71.0,128,0,0.0,NA,128,100.0,3.57 (3.23-3.91)
oligodendrocyte progenitor cells 7,628,0.19,64.0,164,5,3.05,3.18 (2.10-4.26),159,96.95,4.12 (3.79-4.46)
GABA neurons expressing GLU receptors 22,203,0.463,97.0,12,0,0.0,NA,12,100.0,2.44 (0.91-3.97)
GLU like neurons 17,1316,0.037,1.0,101,0,0.0,NA,101,100.0,3.05 (2.70-3.40)
da like neurons 11,1220,0.196,56.0,410,25,6.1,2.85 (2.32-3.38),385,93.9,4.35 (4.16-4.54)
GABA neurons expressing GABA receptors 13,417,0.137,32.0,213,31,14.55,2.04 (1.57-2.51),182,85.45,4.10 (3.86-4.34)
endothelial cells 9,559,0.51,98.0,155,2,1.29,4.20 (2.67-5.74),153,98.71,4.34 (3.97-4.71)
oligodendrocytes 20,228,0.205,52.0,5,3,60.0,1.95 (0.03-3.87),2,40.0,5.21 (1.90-8.51)
GABA like neurons 14,2402,0.149,25.0,455,28,6.15,2.30 (1.68-2.93),427,93.85,4.50 (4.32-4.69)
astrocytes 8,603,0.148,80.0,89,2,2.25,1.39 (1.08-1.71),87,97.75,2.80 (2.45-3.16)
oligodendrocyte progenitor cells 12,1049,0.165,78.0,235,11,4.68,3.32 (2.60-4.04),224,95.32,3.84 (3.60-4.08)
oligodendrocytes 10,735,0.226,93.0,277,2,0.72,6.03 (5.93-6.13),275,99.28,3.87 (3.63-4.11)
connective tissue cells 21,73,0.414,88.0,0,0,0.0,NA,0,0.0,NA
astrocytes 15,1768,0.188,99.0,105,11,10.48,1.60 (1.06-2.13),94,89.52,3.42 (3.07-3.77)
oligodendrocytes 16,94,0.199,44.0,5,1,20.0,3.65 (NA-NA),4,80.0,2.64 (1.13-4.14)
da neurons 6,518,0.101,41.0,122,30,24.59,2.49 (1.82-3.16),92,75.41,4.42 (4.00-4.84)
astrocytes microglia 23,110,0.344,72.0,0,0,0.0,NA,0,0.0,NA
astrocytes 4,208,0.213,61.0,173,2,1.16,NA,171,98.84,3.80 (3.50-4.10)
oligodendrocytes 0,546,0.103,13.0,252,26,10.32,1.98 (1.40-2.56),226,89.68,4.35 (4.11-4.60)
microglia 1,406,0.17,45.0,278,2,0.72,2.76 (2.46-3.07),276,99.28,4.38 (4.10-4.65)
oligodendrocytes 3,303,0.078,19.0,154,0,0.0,NA,154,100.0,3.62 (3.30-3.94)
oligodendrocytes 2,526,0.166,19.0,213,3,1.41,3.31 (2.60-4.02),210,98.59,3.99 (3.71-4.27)
